XS,PKDWDM,JXBMC,WID,TXKCLB_DISPLAY,XXXQDM,XGXKLBDM_DISPLAY,XKZRS,SKZC,PKZTDM,SKJS,YPSJDD,XF,PKDWDM_DISPLAY,SFXGXK_DISPLAY,KCFL1_DISPLAY,SKXQ,XNXQDM,TKJG,JXBID,SKBJ,SFTK,XXXQDM_DISPLAY,XNXQDM_DISPLAY,KXH,SKJAS,SYXS,SFTK_DISPLAY,XGXKLBDM,KCFL1,KTJSXS,TXKCLB,KCSJXS,SFXGXK,KCM,JXLDM,SKJC,JXLDM_DISPLAY,KCH
48.0,400080,思想道德修养与法律基础(20101-000020-1),2010100002038452,,3,,1,5-18周,0,李喜英,5-18周 周一 第1节-第2节 图书馆125,3.0,政府管理学院,否,,周一,2010-2011-1,,2010100002038452,2010物理学院物理学类,0,仙林校区,2010-2011学年 第1学期,38452,图书馆125,,否,,,,,,0,思想道德修养与法律基础,18,第1节-第2节,图书馆,000020
48.0,400080,思想道德修养与法律基础(20101-000020-2),2010100002038453,,3,,60,5-18周,0,李喜英,5-18周 周一 第3节-第4节 图书馆125,3.0,政府管理学院,否,,周一,2010-2011-1,,2010100002038453,"2010生命科学学院生物科学类,2010大气科学学院大气科学类",0,仙林校区,2010-2011学年 第1学期,38453,图书馆125,,否,,,,,,0,思想道德修养与法律基础,18,第3节-第4节,图书馆,000020
48.0,400080,思想道德修养与法律基础(20101-000020-3),2010100002038454,,3,,153,5-18周,0,郭云峰,5-18周 周四 第3节-第4节 图书馆126,3.0,政府管理学院,否,,周四,2010-2011-1,,2010100002038454,2010计算机学院计算机科学类,0,仙林校区,2010-2011学年 第1学期,38454,图书馆126,,否,,,,,,0,思想道德修养与法律基础,18,第3节-第4节,图书馆,000020
48.0,400080,思想道德修养与法律基础(20101-000020-4),2010100002038455,,3,,2,5-18周,0,郭云峰,5-18周 周四 第1节-第2节 图书馆125,3.0,政府管理学院,否,,周四,2010-2011-1,,2010100002038455,"2010工程管理学院管理科学与工程类,2010工程管理学院电气信息类",0,仙林校区,2010-2011学年 第1学期,38455,图书馆125,,否,,,,,,0,思想道德修养与法律基础,18,第1节-第2节,图书馆,000020
48.0,400080,思想道德修养与法律基础(20101-000020-5),2010100002038456,,3,,2,5-18周,0,郭云峰,5-18周 周四 第5节-第6节 图书馆126,3.0,政府管理学院,否,,周四,2010-2011-1,,2010100002038456,2010医学院医学类,0,仙林校区,2010-2011学年 第1学期,38456,图书馆126,,否,,,,,,0,思想道德修养与法律基础,18,第5节-第6节,图书馆,000020
48.0,400080,思想道德修养与法律基础(20101-000020-6),2010100002038457,,3,,1,5-18周,0,张伟,5-18周 周四 第5节-第6节 图书馆125,3.0,政府管理学院,否,,周四,2010-2011-1,,2010100002038457,2010化学学院化学类,0,仙林校区,2010-2011学年 第1学期,38457,图书馆125,,否,,,,,,0,思想道德修养与法律基础,18,第5节-第6节,图书馆,000020
48.0,400080,思想道德修养与法律基础(20101-000020-7),2010100002038458,,3,,175,5-18周,0,暴庆刚,5-18周 周五 第5节-第6节 图书馆125,3.0,政府管理学院,否,,周五,2010-2011-1,,2010100002038458,2010电子科学与工程学院电子信息类,0,仙林校区,2010-2011学年 第1学期,38458,无,,否,,,,,,0,思想道德修养与法律基础,,第5节-第6节,,000020
48.0,400080,思想道德修养与法律基础(20101-000020-8),2010100002038484,,3,,43,5-18周,0,暴庆刚,5-18周 周五 第7节-第8节 仙Ⅱ-101,3.0,政府管理学院,否,,周五,2010-2011-1,,2010100002038484,2010建筑与城市规划学院城市规划,0,仙林校区,2010-2011学年 第1学期,38484,仙Ⅱ-101,,否,,,,,,0,思想道德修养与法律基础,12,第7节-第8节,仙II区,000020
48.0,400080,思想道德修养与法律基础(20101-000020-9),2010100002038485,,3,,28,5-18周,0,暴庆刚,5-18周 周五 第1节-第2节 仙Ⅰ-524,3.0,政府管理学院,否,,周五,2010-2011-1,,2010100002038485,"2010信息管理学院文科类,2010建筑与城市规划学院建筑学",0,仙林校区,2010-2011学年 第1学期,38485,仙Ⅰ-524,,否,,,,,,0,思想道德修养与法律基础,11,第1节-第2节,仙I区,000020
48.0,400080,思想道德修养与法律基础(20101-000020-10),2010100002038486,,3,,40,5-18周,0,吴翠丽,5-18周 周四 第7节-第8节 仙Ⅰ-115,3.0,政府管理学院,否,,周四,2010-2011-1,,2010100002038486,,0,仙林校区,2010-2011学年 第1学期,38486,仙Ⅰ-115,,否,,,,,,0,思想道德修养与法律基础,11,第7节-第8节,仙I区,000020
48.0,400080,思想道德修养与法律基础(20101-000020-11),2010100002038487,,3,,0,5-18周,0,戴雪红,5-18周 周四 第5节-第6节 逸B-405,3.0,政府管理学院,否,,周四,2010-2011-1,,2010100002038487,2010环境学院环境科学与工程类,0,仙林校区,2010-2011学年 第1学期,38487,逸B-405,,否,,,,,,0,思想道德修养与法律基础,16,第5节-第6节,逸夫楼B区,000020
48.0,400080,思想道德修养与法律基础(20101-000020-12),2010100002038488,,3,,154,5-18周,0,吴翠丽,5-18周 周四 第9节-第10节 图书馆125,3.0,政府管理学院,否,,周四,2010-2011-1,,2010100002038488,,0,仙林校区,2010-2011学年 第1学期,38488,图书馆125,,否,,,,,,0,思想道德修养与法律基础,18,第9节-第10节,图书馆,000020
