XS,PKDWDM,JXBMC,WID,TXKCLB_DISPLAY,XXXQDM,XGXKLBDM_DISPLAY,XKZRS,SKZC,PKZTDM,SKJS,YPSJDD,XF,PKDWDM_DISPLAY,SFXGXK_DISPLAY,KCFL1_DISPLAY,SKXQ,XNXQDM,TKJG,JXBID,SKBJ,SFTK,XXXQDM_DISPLAY,XNXQDM_DISPLAY,KXH,SKJAS,SYXS,SFTK_DISPLAY,XGXKLBDM,KCFL1,KTJSXS,TXKCLB,KCSJXS,SFXGXK,KCM,JXLDM,SKJC,JXLDM_DISPLAY,KCH
48.0,400080,马克思主义基本原理概论(20142-00000010-1),201420000001062311,思政课,3,,87,"1-16周,1-16周",0,郭云峰,"1-16周 周三 第3节-第4节 逸B-313,1-16周 自由时间 - 自由地点",3.0,政府管理学院,否,,"周三,自由时间",2014-2015-2,,201420000001062311,2013法学院法学类,0,仙林校区,2014-2015学年 第2学期,62311,"逸B-313,自由地点",,否,,,32,00,16,0,马克思主义基本原理概论,"16,388","第3节-第4节,自由时间","逸夫楼B区, 虚拟区域（仙林）",00000010
48.0,400080,马克思主义基本原理概论(20142-00000010-2),201420000001062323,思政课,3,,106,"1-16周,1-16周",0,郭云峰,"1-16周 周三 第1节-第2节 逸B-313,1-16周 自由时间 - 自由地点",3.0,政府管理学院,否,,"周三,自由时间",2014-2015-2,,201420000001062323,"2013商学院会计学,2013商学院电子商务,2013商学院财务管理",0,仙林校区,2014-2015学年 第2学期,62323,"逸B-313,自由地点",,否,,,32,00,16,0,马克思主义基本原理概论,"16,388","第1节-第2节,自由时间","逸夫楼B区, 虚拟区域（仙林）",00000010
48.0,400080,马克思主义基本原理概论(20142-00000010-3),201420000001062326,思政课,3,,92,"1-16周,1-16周",0,郭云峰,"1-16周 周二 第1节-第2节 逸B-313,1-16周 自由时间 - 自由地点",3.0,政府管理学院,否,,"周二,自由时间",2014-2015-2,,201420000001062326,"2013商学院工商管理,2013商学院工商管理（人力资源管理方向）,2013商学院市场营销",0,仙林校区,2014-2015学年 第2学期,62326,"逸B-313,自由地点",,否,,,32,00,16,0,马克思主义基本原理概论,"16,388","第1节-第2节,自由时间","逸夫楼B区, 虚拟区域（仙林）",00000010
48.0,400080,马克思主义基本原理概论(20142-00000010-4),201420000001062335,思政课,3,,132,"1-16周,1-16周",0,曹永红,"1-16周 周四 第1节-第2节 仙Ⅱ-505,1-16周 自由时间 - 自由地点",3.0,政府管理学院,否,,"周四,自由时间",2014-2015-2,,201420000001062335,2014政府管理学院行政管理（运动员班）,0,仙林校区,2014-2015学年 第2学期,62335,"仙Ⅱ-505,自由地点",,否,,,32,00,16,0,马克思主义基本原理概论,"12,388","第1节-第2节,自由时间","仙II区, 虚拟区域（仙林）",00000010
48.0,400080,马克思主义基本原理概论(20142-00000010-5),201420000001062336,思政课,3,,101,"1-16周,1-16周",0,曹永红,"1-16周 周四 第3节-第4节 仙Ⅱ-406,1-16周 自由时间 - 自由地点",3.0,政府管理学院,否,,"周四,自由时间",2014-2015-2,,201420000001062336,"2013新闻传播学院新闻学,2013新闻传播学院广播电视学,2013新闻传播学院广告学",0,仙林校区,2014-2015学年 第2学期,62336,"仙Ⅱ-406,自由地点",,否,,,32,00,16,0,马克思主义基本原理概论,"12,388","第3节-第4节,自由时间","仙II区, 虚拟区域（仙林）",00000010
48.0,400080,马克思主义基本原理概论(20142-00000010-6),201420000001062338,思政课,3,,121,"1-16周,1-16周",0,周春梅,"1-16周 周三 第7节-第8节 逸B-205,1-16周 自由时间 - 自由地点",3.0,政府管理学院,否,,"周三,自由时间",2014-2015-2,,201420000001062338,"2013文学院汉语言文学,2013文学院戏剧影视文学",0,仙林校区,2014-2015学年 第2学期,62338,"逸B-205,自由地点",,否,,,32,00,16,0,马克思主义基本原理概论,"16,388","第7节-第8节,自由时间","逸夫楼B区, 虚拟区域（仙林）",00000010
48.0,400080,马克思主义基本原理概论(20142-00000010-7),201420000001062340,思政课,3,,86,"1-16周,1-16周",0,周春梅,"1-16周 周三 第5节-第6节 逸B-305,1-16周 自由时间 - 自由地点",3.0,政府管理学院,否,,"周三,自由时间",2014-2015-2,,201420000001062340,"2013外国语学院英语,2013外国语学院日语,2013外国语学院俄语",0,仙林校区,2014-2015学年 第2学期,62340,"逸B-305,自由地点",,否,,,32,00,16,0,马克思主义基本原理概论,"16,388","第5节-第6节,自由时间","逸夫楼B区, 虚拟区域（仙林）",00000010
48.0,400080,马克思主义基本原理概论(20142-00000010-8),201420000001062342,思政课,3,,84,"1-16周,1-16周",0,周春梅,"1-16周 周三 第3节-第4节 逸B-305,1-16周 自由时间 - 自由地点",3.0,政府管理学院,否,,"周三,自由时间",2014-2015-2,,201420000001062342,"2013外国语学院法语,2013外国语学院朝鲜语,2013外国语学院西班牙语,2013外国语学院德语",0,仙林校区,2014-2015学年 第2学期,62342,"逸B-305,自由地点",,否,,,32,00,16,0,马克思主义基本原理概论,"16,388","第3节-第4节,自由时间","逸夫楼B区, 虚拟区域（仙林）",00000010
48.0,400080,马克思主义基本原理概论(20142-00000010-9),201420000001062346,思政课,3,,55,"1-16周,1-16周",0,王培暄,"1-16周 周三 第5节-第6节 仙Ⅱ-217,1-16周 自由时间 - 自由地点",3.0,政府管理学院,否,,"周三,自由时间",2014-2015-2,,201420000001062346,"2013社会学院社会学,2013社会学院应用心理学,2013社会学院社会工作",0,仙林校区,2014-2015学年 第2学期,62346,"仙Ⅱ-217,自由地点",,否,,,32,00,16,0,马克思主义基本原理概论,"12,388","第5节-第6节,自由时间","仙II区, 虚拟区域（仙林）",00000010
48.0,400080,马克思主义基本原理概论(20142-00000010-10),201420000001062349,思政课,3,,108,"1-16周,1-16周",0,王培暄,"1-16周 周五 第1节-第2节 仙Ⅱ-303,1-16周 自由时间 - 自由地点",3.0,政府管理学院,否,,"周五,自由时间",2014-2015-2,,201420000001062349,"2013商学院经济学,2013商学院国际经济与贸易",0,仙林校区,2014-2015学年 第2学期,62349,"仙Ⅱ-303,自由地点",,否,,,32,00,16,0,马克思主义基本原理概论,"12,388","第1节-第2节,自由时间","仙II区, 虚拟区域（仙林）",00000010
