XS,PKDWDM,JXBMC,WID,TXKCLB_DISPLAY,XXXQDM,XGXKLBDM_DISPLAY,XKZRS,SKZC,PKZTDM,SKJS,YPSJDD,XF,PKDWDM_DISPLAY,SFXGXK_DISPLAY,KCFL1_DISPLAY,SKXQ,XNXQDM,TKJG,JXBID,SKBJ,SFTK,XXXQDM_DISPLAY,XNXQDM_DISPLAY,KXH,SKJAS,SYXS,SFTK_DISPLAY,XGXKLBDM,KCFL1,KTJSXS,TXKCLB,KCSJXS,SFXGXK,KCM,JXLDM,SKJC,JXLDM_DISPLAY,KCH
32.0,000000,体适能01班,2022202330004205001,体育课,3,,0,,0,,,0.75,公共课程,否,实践类课程,,2022-2023-3,,2022202330004205001,,1,仙林校区,2022-2023学年 暑期,01,,0.0,是,,3,2,04,30,0,体适能,,,,00042050
32.0,400340,体适能01班,2022202330004205002,体育课,3,,25,2-9周,2,程涛,自由时间  2-9周 仙林校区四组团运动场,0.75,体育部,否,实践类课程,自由时间,2022-2023-3,,2022202330004205002,,0,仙林校区,2022-2023学年 暑期,02,仙林校区四组团运动场,0.0,否,,3,2,04,30,0,体适能,,自由时间,,00042050
32.0,100110,军事技能训练01班,2022202330005003001,军事课,1,,3826,1-9周,2,王书群,自由时间  1-9周 ,2.0,人民武装部,否,实践类课程,自由时间,2022-2023-3,,2022202330005003001,,0,鼓楼校区,2022-2023学年 暑期,01,无,0.0,否,,3,0,05,32,0,军事技能训练,,自由时间,,00050030
32.0,400020,重寻古典：中国历史文化遗存实践考察01班,2022202330211098001,,3,,39,1-2周,2,胡箫白,自由时间  1-2周 中国历史文化遗存,2.0,历史学院,否,实践类课程,自由时间,2022-2023-3,,2022202330211098001,"2020历史学院考古学,2020历史学院历史学,2020历史学院考古学（文物鉴定方向）",0,仙林校区,2022-2023学年 暑期,01,中国历史文化遗存,0.0,否,,3,0,,32,0,重寻古典：中国历史文化遗存实践考察,,自由时间,,02110980
32.0,400020,“一带一路”上的文明传承与生态变迁01班,2022202330211099001,,3,,3,1-2周,1,于文杰,自由时间  1-2周 历史学院216,2.0,历史学院,否,理论+实践课程,自由时间,2022-2023-3,,2022202330211099001,"2020历史学院考古学,2020历史学院历史学,2021历史学院考古学（文物鉴定方向）,2021历史学院历史学,2021历史学院考古学,2020历史学院考古学（文物鉴定方向）,2020历史学院历史学（强基计划）,2021历史学院历史学（强基计划）",0,仙林校区,2022-2023学年 暑期,01,历史学院216,0.0,否,,5,16,,16,0,“一带一路”上的文明传承与生态变迁,,自由时间,,02110990
32.0,400050,专业实习(一)01班,20222023303000800A01,,3,,120,1-9周,2,平凡,自由时间  1-9周 自由地点,2.0,法学院,否,实践类课程,自由时间,2022-2023-3,,20222023303000800A01,"2021法学院法学（运动员班）,2021法学院法学",0,仙林校区,2022-2023学年 暑期,01,自由地点,0.0,否,,3,0,,32,0,专业实习(一),,自由时间,,03000800A
32.0,400050,专业实习(二)01班,20222023303000800B01,,3,,120,1-9周,2,路敏玥,自由时间  1-9周 自由地点,2.0,法学院,否,实践类课程,自由时间,2022-2023-3,,20222023303000800B01,2020法学院法学,0,仙林校区,2022-2023学年 暑期,01,自由地点,0.0,否,,3,0,,32,0,专业实习(二),,自由时间,,03000800B
16.0,400030,精神分析与现代性反思01班,2022202330401168001,,3,,20,"1-2周,1-2周,1-2周,1-2周",2,黄玮杰,"周一 9-10节 1-2周 逸C-115, 周二 9-10节 1-2周 逸C-115, 周三 9-10节 1-2周 逸C-115, 周四 9-10节 1-2周 逸C-115",1.0,哲学学院,否,理论类课程,"周一,周二,周三,周四",2022-2023-3,,2022202330401168001,"2020哲学学院哲学（强基计划）,2020哲学学院哲学（拔尖计划）,2021哲学学院哲学（拔尖计划）,2021哲学学院哲学,2020哲学学院哲学,2021哲学学院哲学（强基计划）",0,仙林校区,2022-2023学年 暑期,01,"逸C-115,逸C-115,逸C-115,逸C-115",0.0,否,,1,16,,0,0,精神分析与现代性反思,17,"第9节-第10节,第9节-第10节,第9节-第10节,第9节-第10节",逸夫楼C区,04011680
54.0,400100,新冠疫情下海外华人在当地社会适应与融入状况“云”科考与科研训练项目01班,20222023308010780S01,,3,,23,1-4周,2,"朱安新,邱月,曲飞帆,吕钊进",周一 1-10节 1-4周 自由地点,3.0,社会学院,否,实践类课程,周一,2022-2023-3,,20222023308010780S01,"2020社会学院社会学,2021社会学院社会学",0,仙林校区,2022-2023学年 暑期,01,自由地点,0.0,否,,3,0,,54,0,新冠疫情下海外华人在当地社会适应与融入状况“云”科考与科研训练项目,,第1节-第10节,,08010780S
32.0,400070,朝鲜语专业实习与社会实践01班,2022202331008168001,,3,,7,1-9周,2,吴玉梅,自由时间  1-9周 自由地点,2.0,外国语学院,否,实践类课程,自由时间,2022-2023-3,,2022202331008168001,"2021外国语学院朝鲜语,2020外国语学院朝鲜语",0,仙林校区,2022-2023学年 暑期,01,自由地点,0.0,否,,3,0,,32,0,朝鲜语专业实习与社会实践,,自由时间,,10081680
