XS,PKDWDM,JXBMC,WID,TXKCLB_DISPLAY,XXXQDM,XGXKLBDM_DISPLAY,XKZRS,SKZC,PKZTDM,SKJS,YPSJDD,XF,PKDWDM_DISPLAY,SFXGXK_DISPLAY,KCFL1_DISPLAY,SKXQ,XNXQDM,TKJG,JXBID,SKBJ,SFTK,XXXQDM_DISPLAY,XNXQDM_DISPLAY,KXH,SKJAS,SYXS,SFTK_DISPLAY,XGXKLBDM,KCFL1,KTJSXS,TXKCLB,KCSJXS,SFXGXK,KCM,JXLDM,SKJC,JXLDM_DISPLAY,KCH
48.0,400080,马克思主义基本原理概论(20121-000010-1),2012100001048447,,3,,134,"1-18周,1-18周",0,周建国,"1-18周 周三 第7节-第8节 逸B-105,1-18周 自由时间 - ",3.0,政府管理学院,否,,"周三,自由时间",2012-2013-1,,2012100001048447,"2010数学学院数学与应用数学,2010数学学院统计学,2010数学学院信息与计算科学",0,仙林校区,2012-2013学年 第1学期,48447,"逸B-105,无",,否,,,,,,0,马克思主义基本原理概论,16,"第7节-第8节,自由时间",逸夫楼B区,000010
48.0,400080,马克思主义基本原理概论(20121-000010-2),2012100001048606,,3,,67,"1-18周,1-18周",0,王培暄,"1-18周 周二 第5节-第6节 仙Ⅱ-312,1-18周 自由时间 - ",3.0,政府管理学院,否,,"周二,自由时间",2012-2013-1,,2012100001048606,2010计算机学院计算机科学类,0,仙林校区,2012-2013学年 第1学期,48606,"仙Ⅱ-312,无",,否,,,,,,0,马克思主义基本原理概论,12,"第5节-第6节,自由时间",仙II区,000010
48.0,400080,马克思主义基本原理概论(20121-000010-3),2012100001048608,,3,,74,"1-18周,1-18周",0,王培暄,"1-18周 周二 第7节-第8节 仙Ⅱ-312,1-18周 自由时间 - ",3.0,政府管理学院,否,,"周二,自由时间",2012-2013-1,,2012100001048608,2010计算机学院计算机科学类,0,仙林校区,2012-2013学年 第1学期,48608,"仙Ⅱ-312,无",,否,,,,,,0,马克思主义基本原理概论,12,"第7节-第8节,自由时间",仙II区,000010
48.0,400080,马克思主义基本原理概论(20121-000010-4),2012100001048654,,3,,95,"1-18周,1-18周",0,王培暄,"1-18周 周二 第3节-第4节 逸B-405,1-18周 自由时间 - ",3.0,政府管理学院,否,,"周二,自由时间",2012-2013-1,,2012100001048654,"2010地理与海洋科学学院资源环境与城乡规划管理,2010地理与海洋科学学院海洋科学,2010地理与海洋科学学院旅游管理,2010地理与海洋科学学院地理科学,2010地理与海洋科学学院地理信息系统",0,仙林校区,2012-2013学年 第1学期,48654,"逸B-405,无",,否,,,,,,0,马克思主义基本原理概论,16,"第3节-第4节,自由时间",逸夫楼B区,000010
48.0,400080,马克思主义基本原理概论(20121-000010-5),2012100001049015,,3,,102,"1-18周,1-18周",0,王锁明,"1-18周 周三 第7节-第8节 逸A-416,1-18周 自由时间 - ",3.0,政府管理学院,否,,"周三,自由时间",2012-2013-1,,2012100001049015,"2010建筑与城市规划学院城市规划,2011建筑与城市规划学院城市规划",0,仙林校区,2012-2013学年 第1学期,49015,"逸A-416,无",,否,,,,,,0,马克思主义基本原理概论,15,"第7节-第8节,自由时间",逸夫楼A区,000010
48.0,400080,马克思主义基本原理概论(20121-000010-6),2012100001049021,,3,,112,"1-18周,1-18周",0,陈建,"1-18周 周五 第3节-第4节 逸B-410,1-18周 自由时间 - ",3.0,政府管理学院,否,,"周五,自由时间",2012-2013-1,,2012100001049021,"2010工程管理学院自动化,2010工程管理学院信息工程,2010工程管理学院金融工程,2010工程管理学院工业工程",0,仙林校区,2012-2013学年 第1学期,49021,"逸B-410,无",,否,,,,,,0,马克思主义基本原理概论,16,"第3节-第4节,自由时间",逸夫楼B区,000010
48.0,400080,马克思主义基本原理概论(20121-000010-7),2012100001049024,,3,,60,"1-18周,1-18周",0,王锁明,"1-18周 周四 第5节-第6节 仙Ⅱ-214,1-18周 自由时间 - ",3.0,政府管理学院,否,,"周四,自由时间",2012-2013-1,,2012100001049024,2010生命科学学院生物科学类,0,仙林校区,2012-2013学年 第1学期,49024,"仙Ⅱ-214,无",,否,,,,,,0,马克思主义基本原理概论,12,"第5节-第6节,自由时间",仙II区,000010
48.0,400080,马克思主义基本原理概论(20121-000010-8),2012100001049151,,3,,123,"1-18周,1-18周",0,曹永红,"1-18周 周三 第1节-第2节 二食堂206,1-18周 自由时间 - ",3.0,政府管理学院,否,,"周三,自由时间",2012-2013-1,,2012100001049151,2011软件学院软件学类,0,仙林校区,2012-2013学年 第1学期,49151,"二食堂206,无",,否,,,,,,0,马克思主义基本原理概论,19,"第1节-第2节,自由时间",二食堂,000010
48.0,400080,马克思主义基本原理概论(20121-000010-9),2012100001049154,,3,,131,"1-18周,1-18周",0,曹永红,"1-18周 周三 第3节-第4节 二食堂206,1-18周 自由时间 - ",3.0,政府管理学院,否,,"周三,自由时间",2012-2013-1,,2012100001049154,2011软件学院软件学类,0,仙林校区,2012-2013学年 第1学期,49154,"二食堂206,无",,否,,,,,,0,马克思主义基本原理概论,19,"第3节-第4节,自由时间",二食堂,000010
48.0,400080,马克思主义基本原理概论(20121-000010-10),2012100001049161,,3,,79,"1-18周,1-18周",0,周春梅,"1-18周 周三 第9节-第10节 仙Ⅰ-103,1-18周 自由时间 - ",3.0,政府管理学院,否,,"周三,自由时间",2012-2013-1,,2012100001049161,"2010化学学院化学,2010化学学院应用化学",0,仙林校区,2012-2013学年 第1学期,49161,"仙Ⅰ-103,无",,否,,,,,,0,马克思主义基本原理概论,11,"第9节-第10节,自由时间",仙I区,000010
48.0,400080,马克思主义基本原理概论(20121-000010-11),2012100001049162,,3,,78,"1-18周,1-18周",0,周春梅,"1-18周 周三 第5节-第6节 仙Ⅱ-214,1-18周 自由时间 - ",3.0,政府管理学院,否,,"周三,自由时间",2012-2013-1,,2012100001049162,2010化学学院化学,0,仙林校区,2012-2013学年 第1学期,49162,"仙Ⅱ-214,无",,否,,,,,,0,马克思主义基本原理概论,12,"第5节-第6节,自由时间",仙II区,000010
48.0,400080,马克思主义基本原理概论(20121-000010-12),2012100001049265,,3,,134,"1-18周,1-18周",0,王永义,"1-18周 周四 第3节-第4节 仙Ⅱ-405,1-18周 自由时间 - ",3.0,政府管理学院,否,,"周四,自由时间",2012-2013-1,,2012100001049265,"2010现代工程与应用科学学院材料物理,2010现代工程与应用科学学院材料化学",0,仙林校区,2012-2013学年 第1学期,49265,"仙Ⅱ-405,无",,否,,,,,,0,马克思主义基本原理概论,12,"第3节-第4节,自由时间",仙II区,000010
48.0,400080,马克思主义基本原理概论(20121-000010-13),2012100001049349,,3,,90,"1-18周,1-18周",0,周春梅,"1-18周 周三 第7节-第8节 逸B-507,1-18周 自由时间 - ",3.0,政府管理学院,否,,"周三,自由时间",2012-2013-1,,2012100001049349,"2010大气科学学院大气科学类,2010大气科学学院应用气象学,2010大气科学学院大气科学",0,仙林校区,2012-2013学年 第1学期,49349,"逸B-507,无",,否,,,,,,0,马克思主义基本原理概论,16,"第7节-第8节,自由时间",逸夫楼B区,000010
48.0,400080,马克思主义基本原理概论(20121-000010-14),2012100001049609,,3,,98,"1-18周,1-18周",0,周建国,"1-18周 周三 第5节-第6节 逸B-405,1-18周 自由时间 - ",3.0,政府管理学院,否,,"周三,自由时间",2012-2013-1,,2012100001049609,"2010地球科学与工程学院地质学,2010地球科学与工程学院地质学（地球物理学方向）,2010地球科学与工程学院地下水科学与工程,2010地球科学与工程学院水文与水资源工程,2010地球科学与工程学院地质工程,2010地球科学与工程学院地球化学",0,仙林校区,2012-2013学年 第1学期,49609,"逸B-405,无",,否,,,,,,0,马克思主义基本原理概论,16,"第5节-第6节,自由时间",逸夫楼B区,000010
48.0,400080,马克思主义基本原理概论(20121-000010-15),2012100001049612,,3,,91,"1-18周,1-18周",0,陈建,"1-18周 周二 第9节-第10节 仙Ⅱ-211,1-18周 自由时间 - ",3.0,政府管理学院,否,,"周二,自由时间",2012-2013-1,,2012100001049612,2010物理学院物理学类,0,仙林校区,2012-2013学年 第1学期,49612,"仙Ⅱ-211,无",,否,,,,,,0,马克思主义基本原理概论,12,"第9节-第10节,自由时间",仙II区,000010
48.0,400080,马克思主义基本原理概论(20121-000010-16),2012100001049613,,3,,89,"1-18周,1-18周",0,陈建,"1-18周 周五 第5节-第6节 逸B-205,1-18周 自由时间 - ",3.0,政府管理学院,否,,"周五,自由时间",2012-2013-1,,2012100001049613,2010物理学院物理学类,0,仙林校区,2012-2013学年 第1学期,49613,"逸B-205,无",,否,,,,,,0,马克思主义基本原理概论,16,"第5节-第6节,自由时间",逸夫楼B区,000010
48.0,400080,马克思主义基本原理概论(20121-000010-17),2012100001049623,,3,,20,"1-18周,1-18周",0,曹永红,"1-18周 周二 第1节-第2节 逸B-209,1-18周 自由时间 - ",3.0,政府管理学院,否,,"周二,自由时间",2012-2013-1,,2012100001049623,2012新闻传播学院新闻学（运动员班）,0,仙林校区,2012-2013学年 第1学期,49623,"逸B-209,无",,否,,,,,,0,马克思主义基本原理概论,16,"第1节-第2节,自由时间",逸夫楼B区,000010
48.0,400080,马克思主义基本原理概论(20121-000010-18),2012100001049624,,3,,95,"1-18周,1-18周",0,王锁明,"1-18周 周三 第5节-第6节 图书馆125,1-18周 自由时间 - ",3.0,政府管理学院,否,,"周三,自由时间",2012-2013-1,,2012100001049624,"2010环境学院环境工程,2010环境学院环境科学",0,仙林校区,2012-2013学年 第1学期,49624,"无,无",,否,,,,,,0,马克思主义基本原理概论,,"第5节-第6节,自由时间",,000010
48.0,400080,马克思主义基本原理概论(20121-000010-19),2012100001049740,,3,,177,"1-18周,1-18周",0,王锁明,"1-18周 周四 第7节-第8节 图书馆125,1-18周 自由时间 - ",3.0,政府管理学院,否,,"周四,自由时间",2012-2013-1,,2012100001049740,"2010电子科学与工程学院电子信息科学与技术,2010电子科学与工程学院微电子学,2010电子科学与工程学院通信工程",0,仙林校区,2012-2013学年 第1学期,49740,"无,无",,否,,,,,,0,马克思主义基本原理概论,,"第7节-第8节,自由时间",,000010
48.0,400080,思想道德修养与法律基础(20121-000020-1),2012100002048446,,3,,130,"5-18周,5-18周",0,李喜英,"5-18周 周四 第7节-第8节 逸B-101,5-18周 自由时间 - ",3.0,政府管理学院,否,,"周四,自由时间",2012-2013-1,,2012100002048446,2012数学学院数学类,0,仙林校区,2012-2013学年 第1学期,48446,"逸B-101,无",,否,,,,,,0,思想道德修养与法律基础,16,"第7节-第8节,自由时间",逸夫楼B区,000020
48.0,400080,思想道德修养与法律基础(20121-000020-2),2012100002048508,,3,,94,"5-18周,5-18周",0,戴雪红,"5-18周 周一 第5节-第6节 仙Ⅱ-404,5-18周 自由时间 - ",3.0,政府管理学院,否,,"周一,自由时间",2012-2013-1,,2012100002048508,2012信息管理学院文科类,0,仙林校区,2012-2013学年 第1学期,48508,"仙Ⅱ-404,无",,否,,,,,,0,思想道德修养与法律基础,12,"第5节-第6节,自由时间",仙II区,000020
48.0,400080,思想道德修养与法律基础(20121-000020-3),2012100002048611,,3,,152,"5-18周,5-18周",0,张伟,"5-18周 周四 第3节-第4节 ,5-18周 自由时间 - ",3.0,政府管理学院,否,,"周四,自由时间",2012-2013-1,,2012100002048611,,0,仙林校区,2012-2013学年 第1学期,48611,"无,无",,否,,,,,,0,思想道德修养与法律基础,,"第3节-第4节,自由时间",,000020
48.0,400080,思想道德修养与法律基础(20121-000020-4),2012100002048651,,3,,133,"5-18周,5-18周",0,吴翠丽,"5-18周 周五 第5节-第6节 逸A-117,5-18周 自由时间 - ",3.0,政府管理学院,否,,"周五,自由时间",2012-2013-1,,2012100002048651,"2012地理与海洋科学学院地理科学类,2012天文与空间科学学院天文学,2012地理与海洋科学学院地理科学",0,仙林校区,2012-2013学年 第1学期,48651,"逸A-117,无",,否,,,,,,0,思想道德修养与法律基础,15,"第5节-第6节,自由时间",逸夫楼A区,000020
48.0,400080,思想道德修养与法律基础(20121-000020-5),2012100002048794,,3,,98,"5-18周,5-18周",0,暴庆刚,"5-18周 周四 第5节-第6节 逸B-313,5-18周 自由时间 - ",3.0,政府管理学院,否,,"周四,自由时间",2012-2013-1,,2012100002048794,,0,仙林校区,2012-2013学年 第1学期,48794,"逸B-313,无",,否,,,,,,0,思想道德修养与法律基础,16,"第5节-第6节,自由时间",逸夫楼B区,000020
48.0,400080,思想道德修养与法律基础(20121-000020-6),2012100002048795,,3,,71,"5-18周,5-18周",0,吴翠丽,"5-18周 周二 第7节-第8节 仙Ⅰ-212,5-18周 自由时间 - ",3.0,政府管理学院,否,,"周二,自由时间",2012-2013-1,,2012100002048795,,0,仙林校区,2012-2013学年 第1学期,48795,"仙Ⅰ-212,无",,否,,,,,,0,思想道德修养与法律基础,11,"第7节-第8节,自由时间",仙I区,000020
