XS,PKDWDM,JXBMC,WID,TXKCLB_DISPLAY,XXXQDM,XGXKLBDM_DISPLAY,XKZRS,SKZC,PKZTDM,SKJS,YPSJDD,XF,PKDWDM_DISPLAY,SFXGXK_DISPLAY,KCFL1_DISPLAY,SKXQ,XNXQDM,TKJG,JXBID,SKBJ,SFTK,XXXQDM_DISPLAY,XNXQDM_DISPLAY,KXH,SKJAS,SYXS,SFTK_DISPLAY,XGXKLBDM,KCFL1,KTJSXS,TXKCLB,KCSJXS,SFXGXK,KCM,JXLDM,SKJC,JXLDM_DISPLAY,KCH
48.0,400080,马克思主义基本原理概论(20111-000010-1),2011100001043609,,3,,111,"1-17周,1-17周",0,"吴俊奇,张建新,张振克,王培暄","1-17周 周四 第1节-第2节 逸B-405,1-17周 自由时间 - ",3.0,政府管理学院,否,,"周四,自由时间",2011-2012-1,,2011100001043609,"2009地理与海洋科学学院资源环境与城乡规划管理,2009地理与海洋科学学院海洋科学,2009地理与海洋科学学院旅游管理,2009地理与海洋科学学院地理科学,2009地理与海洋科学学院地理信息系统",0,仙林校区,2011-2012学年 第1学期,43609,"逸B-405,无",,否,,,,,,0,马克思主义基本原理概论,16,"第1节-第2节,自由时间",逸夫楼B区,000010
48.0,400080,马克思主义基本原理概论(20111-000010-2),2011100001043610,,3,,118,"1-17周,1-17周",0,陈建,"1-17周 周三 第7节-第8节 逸B-101,1-17周 自由时间 - ",3.0,政府管理学院,否,,"周三,自由时间",2011-2012-1,,2011100001043610,"2009数学学院数学与应用数学,2009数学学院应用模块,2009数学学院统计学,2009数学学院信息与计算科学",0,仙林校区,2011-2012学年 第1学期,43610,"逸B-101,无",,否,,,,,,0,马克思主义基本原理概论,16,"第7节-第8节,自由时间",逸夫楼B区,000010
48.0,400080,马克思主义基本原理概论(20111-000010-3),2011100001043612,,3,,93,"1-17周,1-17周",0,"周春梅,王锁明","1-17周 周四 第7节-第8节 逸B-405,1-17周 自由时间 - ",3.0,政府管理学院,否,,"周四,自由时间",2011-2012-1,,2011100001043612,"2009大气科学学院大气科学,2009大气科学学院应用气象学",0,仙林校区,2011-2012学年 第1学期,43612,"逸B-405,无",,否,,,,,,0,马克思主义基本原理概论,16,"第7节-第8节,自由时间",逸夫楼B区,000010
48.0,400080,马克思主义基本原理概论(20111-000010-4),2011100001043682,,3,,82,"1-17周,1-17周",0,陈建,"1-17周 周三 第5节-第6节 仙Ⅱ-104,1-17周 自由时间 - ",3.0,政府管理学院,否,,"周三,自由时间",2011-2012-1,,2011100001043682,2009化学学院化学,0,仙林校区,2011-2012学年 第1学期,43682,"仙Ⅱ-104,无",,否,,,,,,0,马克思主义基本原理概论,12,"第5节-第6节,自由时间",仙II区,000010
48.0,400080,马克思主义基本原理概论(20111-000010-5),2011100001043683,,3,,110,"1-17周,1-17周",0,陈建,"1-17周 周三 第1节-第2节 逸B-405,1-17周 自由时间 - ",3.0,政府管理学院,否,,"周三,自由时间",2011-2012-1,,2011100001043683,"2009化学学院化学,2009化学学院化学(基地),2009化学学院应用化学",0,仙林校区,2011-2012学年 第1学期,43683,"逸B-405,无",,否,,,,,,0,马克思主义基本原理概论,16,"第1节-第2节,自由时间",逸夫楼B区,000010
48.0,400080,马克思主义基本原理概论(20111-000010-6),2011100001043695,,3,,132,"1-17周,1-17周",0,王锁明,"1-17周 周一 第3节-第4节 仙Ⅱ-303,1-17周 自由时间 - ",3.0,政府管理学院,否,,"周一,自由时间",2011-2012-1,,2011100001043695,"2009工程管理学院自动化,2009工程管理学院信息工程,2009工程管理学院金融工程,2009工程管理学院工业工程",0,仙林校区,2011-2012学年 第1学期,43695,"仙Ⅱ-303,无",,否,,,,,,0,马克思主义基本原理概论,12,"第3节-第4节,自由时间",仙II区,000010
48.0,400080,马克思主义基本原理概论(20111-000010-7),2011100001043698,,3,,93,"1-17周,1-17周",0,王锁明,"1-17周 周一 第5节-第6节 仙Ⅰ-204,1-17周 自由时间 - ",3.0,政府管理学院,否,,"周一,自由时间",2011-2012-1,,2011100001043698,2009环境学院环境工程,0,仙林校区,2011-2012学年 第1学期,43698,"仙Ⅰ-204,无",,否,,,,,,0,马克思主义基本原理概论,11,"第5节-第6节,自由时间",仙I区,000010
48.0,400080,马克思主义基本原理概论(20111-000010-8),2011100001043977,,1,,120,"1-17周,1-17周",0,周建国,"1-17周 周三 第7节-第8节 教121,1-17周 自由时间 - ",3.0,政府管理学院,否,,"周三,自由时间",2011-2012-1,,2011100001043977,2009软件学院软件学类,0,鼓楼校区,2011-2012学年 第1学期,43977,"教121,无",,否,,,,,,0,马克思主义基本原理概论,1,"第7节-第8节,自由时间",教学楼,000010
48.0,400080,马克思主义基本原理概论(20111-000010-9),2011100001043987,,1,,115,"1-17周,1-17周",0,周建国,"1-17周 周三 第5节-第6节 教121,1-17周 自由时间 - ",3.0,政府管理学院,否,,"周三,自由时间",2011-2012-1,,2011100001043987,2009软件学院软件学类,0,鼓楼校区,2011-2012学年 第1学期,43987,"教121,无",,否,,,,,,0,马克思主义基本原理概论,1,"第5节-第6节,自由时间",教学楼,000010
48.0,400080,马克思主义基本原理概论(20111-000010-10),2011100001043990,,3,,108,"1-17周,1-17周",0,曹永红,"1-17周 周三 第3节-第4节 环科楼B-112,1-17周 自由时间 - ",3.0,政府管理学院,否,,"周三,自由时间",2011-2012-1,,2011100001043990,2010软件学院软件学类,0,仙林校区,2011-2012学年 第1学期,43990,"环科楼B-112,无",,否,,,,,,0,马克思主义基本原理概论,111,"第3节-第4节,自由时间",环科楼,000010
