XS,PKDWDM,JXBMC,WID,TXKCLB_DISPLAY,XXXQDM,XGXKLBDM_DISPLAY,XKZRS,SKZC,PKZTDM,SKJS,YPSJDD,XF,PKDWDM_DISPLAY,SFXGXK_DISPLAY,KCFL1_DISPLAY,SKXQ,XNXQDM,TKJG,JXBID,SKBJ,SFTK,XXXQDM_DISPLAY,XNXQDM_DISPLAY,KXH,SKJAS,SYXS,SFTK_DISPLAY,XGXKLBDM,KCFL1,KTJSXS,TXKCLB,KCSJXS,SFXGXK,KCM,JXLDM,SKJC,JXLDM_DISPLAY,KCH
48.0,400010,古代汉语（下）,2007101003B28108,,2,,0,"1-18周,1-18周",0,"高小方,陈文杰","1-18周 周三 第3节-第4节 ,1-18周 周一 第5节-第6节 ",3.0,文学院,否,,"周一,周三",2007-2008-1,,2007101003B28108,,0,浦口校区,2007-2008学年 第1学期,28108,"无,无",,否,,,,,,0,古代汉语（下）,,"第5节-第6节,第3节-第4节",,01003B
64.0,400010,中国当代文学,2007101006B28107,,2,,0,"1-18周,1-18周",0,潘志强,"1-18周 周一 第5节-第6节 ,1-18周 周三 第5节-第6节 ",4.0,文学院,否,,"周一,周三",2007-2008-1,,2007101006B28107,,0,浦口校区,2007-2008学年 第1学期,28107,"无,无",,否,,,,,,0,中国现当代文学（下）,,"第5节-第6节,第5节-第6节",,01006B
64.0,400010,外国文学（上）,2007101007A29350,,2,,0,"1-18周,1-18周,1-18周,1-18周,1-18周,1-18周,1-18周,1-18周,1-18周",0,"叶潇,肖锦龙","1-18周 周二 第3节-第4节 ,1-18周 周四 第3节-第4节 ,1-18周 周四 第3节-第4节 ,1-18周 周四 第3节-第4节 ,1-18周 周四 第3节-第4节 ,1-18周 周四 第3节-第4节 ,1-18周 周四 第3节-第4节 ,1-18周 周二 第3节-第4节 ,1-18周 周二 第3节-第4节 ",4.0,文学院,否,,"周二,周二,周二,周四,周四,周四,周四,周四,周四",2007-2008-1,,2007101007A29350,,0,浦口校区,2007-2008学年 第1学期,29350,"无,无,无,无,无,无,无,无,无",,否,,,,,,0,外国文学（上）,,"第3节-第4节,第3节-第4节,第3节-第4节,第3节-第4节,第3节-第4节,第3节-第4节,第3节-第4节,第3节-第4节,第3节-第4节",,01007A
32.0,400010,西方文论,200710100832837,,2,,0,1-18周,0,汪正龙,1-18周 周四 第1节-第2节 ,2.0,文学院,否,,周四,2007-2008-1,,200710100832837,,0,浦口校区,2007-2008学年 第1学期,32837,无,,否,,,,,,0,西方文论,,第1节-第2节,,01008
32.0,400010,《说文解字》研究,200710101134846,,2,,0,1-18周,0,魏宜辉,1-18周 周五 第3节-第4节 ,2.0,文学院,否,,周五,2007-2008-1,,200710101134846,,0,浦口校区,2007-2008学年 第1学期,34846,无,,否,,,,,,0,《说文解字》研究,,第3节-第4节,,01011
32.0,400010,工具书使用法,200710101331135,,2,,0,1-18周,0,高小方,1-18周 周三 第1节-第2节 ,2.0,文学院,否,,周三,2007-2008-1,,200710101331135,,0,浦口校区,2007-2008学年 第1学期,31135,无,,否,,,,,,0,工具书使用法,,第1节-第2节,,01013
32.0,400010,中国古代文献学,200710101429348,,1,,0,1-18周,0,武秀成,1-18周 周二 第3节-第4节 ,2.0,文学院,否,,周二,2007-2008-1,,200710101429348,,0,鼓楼校区,2007-2008学年 第1学期,29348,无,,否,,,,,,0,中国古代文献学,,第3节-第4节,,01014
32.0,400010,《红楼梦》研究,200710101829351,,2,,0,1-18周,0,苗怀明,1-18周 周二 第5节-第6节 ,2.0,文学院,否,,周二,2007-2008-1,,200710101829351,,0,浦口校区,2007-2008学年 第1学期,29351,无,,否,,,,,,0,《红楼梦》研究,,第5节-第6节,,01018
32.0,400010,比较文学导论,200710102031136,,2,,0,1-18周,0,昂智慧,1-18周 周三 第3节-第4节 ,2.0,文学院,否,,周三,2007-2008-1,,200710102031136,,0,浦口校区,2007-2008学年 第1学期,31136,无,,否,,,,,,0,比较文学导论,,第3节-第4节,,01020
32.0,400010,治学方法论,200710102134412,,2,,0,1-18周,0,赵益,1-18周 周五 第3节-第4节 ,2.0,文学院,否,,周五,2007-2008-1,,200710102134412,,0,浦口校区,2007-2008学年 第1学期,34412,无,,否,,,,,,0,治学方法论,,第3节-第4节,,01021
