XS,PKDWDM,JXBMC,WID,TXKCLB_DISPLAY,XXXQDM,XGXKLBDM_DISPLAY,XKZRS,SKZC,PKZTDM,SKJS,YPSJDD,XF,PKDWDM_DISPLAY,SFXGXK_DISPLAY,KCFL1_DISPLAY,SKXQ,XNXQDM,TKJG,JXBID,SKBJ,SFTK,XXXQDM_DISPLAY,XNXQDM_DISPLAY,KXH,SKJAS,SYXS,SFTK_DISPLAY,XGXKLBDM,KCFL1,KTJSXS,TXKCLB,KCSJXS,SFXGXK,KCM,JXLDM,SKJC,JXLDM_DISPLAY,KCH
32.0,400010,古文字基础形体研究01班,2021202230103235001,,3,,30,1-2周,1,"魏宜辉,程少轩",自由时间  1-2周 逸B-205,2.0,文学院,否,理论类课程,自由时间,2021-2022-3,,2021202230103235001,"2020文学院汉语言文学,2021文学院汉语言文学（古文字学方向）（强基计划）,2021文学院汉语言文学,2020文学院汉语言文学（古文字学方向）（强基计划）",0,仙林校区,2021-2022学年 暑期,01,逸B-205,0.0,否,,1,16,,16,0,古文字基础形体研究,,自由时间,,01032350
32.0,400010,甲骨学02班,2021202230103236002,,3,,30,2-4周,1,"魏宜辉,程少轩",自由时间  2-4周 逸B-207,2.0,文学院,否,理论类课程,自由时间,2021-2022-3,,2021202230103236002,"2020文学院汉语言文学,2021文学院汉语言文学（古文字学方向）（强基计划）,2021文学院汉语言文学,2020文学院汉语言文学（古文字学方向）（强基计划）",0,仙林校区,2021-2022学年 暑期,02,逸B-207,0.0,否,,1,32,,0,0,甲骨学,,自由时间,,01032360
32.0,400050,专业实习(一)01班,20212022303000800A01,,3,,116,1-4周,2,路敏玥,自由时间  1-4周 自由地点,2.0,法学院,否,实践类课程,自由时间,2021-2022-3,,20212022303000800A01,2020法学院法学,0,仙林校区,2021-2022学年 暑期,01,自由地点,0.0,否,,3,0,,32,0,专业实习(一),,自由时间,,03000800A
32.0,400050,专业实习(二)01班,20212022303000800B01,,3,,105,1-4周,2,,自由时间  1-4周 自由地点,2.0,法学院,否,实践类课程,自由时间,2021-2022-3,,20212022303000800B01,2019法学院法学,0,仙林校区,2021-2022学年 暑期,01,自由地点,0.0,否,,3,0,,32,0,专业实习(二),,自由时间,,03000800B
24.0,400040,智能传播与创新社会发展国际“云”科考与科研训练01班,2021202230500105001,,3,,9,22-23周,1,"袁光锋,李晓愚,丁晓蔚,李明,马志浩,申琦",自由时间  22-23周 线上课程,2.0,新闻传播学院,否,理论+实践课程,自由时间,2021-2022-3,,2021202230500105001,2019新闻传播学院新闻传播学类,0,仙林校区,2021-2022学年 暑期,01,线上课程,0.0,否,,5,16,,8,0,智能传播与创新社会发展国际“云”科考与科研训练,,自由时间,,05001050
32.0,400080,赋能成长：乡村人居环境治理国际“云”科考与科研训练项目01班,20212022306010010S01,,3,,30,1周,1,"李里峰,苗红娜",自由时间  1周 自由地点,2.0,政府管理学院,否,实践类课程,自由时间,2021-2022-3,,20212022306010010S01,"2019政府管理学院政治学与行政学,2020政府管理学院政治学与行政学",0,仙林校区,2021-2022学年 暑期,01,自由地点,0.0,否,,3,12,,20,0,赋能成长：乡村人居环境治理国际“云”科考与科研训练项目,,自由时间,,06010010S
36.0,400060,商业数据科学导论01班,2021202230907048001,,3,,8,"1-3周,1-3周,1-3周",2,杜前舟,"星期一 第3节-第6节 1-3周 逸C-104,星期三 第3节-第6节 1-3周 逸C-104,星期五 第3节-第6节 1-3周 逸C-104",2.0,商学院,否,理论类课程,"周一,周三,周五",2021-2022-3,,2021202230907048001,2020商学院电子商务,0,仙林校区,2021-2022学年 暑期,01,"逸C-104,逸C-104,逸C-104",0.0,否,,1,36,,0,0,商业数据科学导论,,"第3节-第6节,第3节-第6节,第3节-第6节",,09070480
32.0,400070,朝鲜语专业实习与社会实践01班,2021202231008168001,,3,,4,19-22周,2,吴玉梅,自由时间  19-22周 ,2.0,外国语学院,否,实践类课程,自由时间,2021-2022-3,,2021202231008168001,"2019外国语学院朝鲜语,2020外国语学院朝鲜语",0,仙林校区,2021-2022学年 暑期,01,无,0.0,否,,3,0,,32,0,朝鲜语专业实习与社会实践,,自由时间,,10081680
36.0,400070,中俄历史记忆与红色精神的当代传承与国际“云”科考科研训练项目01班,2021202231008409001,,3,,29,19-20周,1,汪磊,自由时间  19-20周,2.0,外国语学院,否,理论+实践课程,自由时间,2021-2022-3,,2021202231008409001,"2019外国语学院俄语,2021外国语学院俄语,2020外国语学院俄语",0,仙林校区,2021-2022学年 暑期,01,无,0.0,否,,5,28,,8,0,中俄历史记忆与红色精神的当代传承与国际“云”科考科研训练项目,,自由时间,,10084090
16.0,400120,国际高能物理大科学装置“云”科考01班,2021202231200133001,,3,,15,1-4周,1,张雷,自由时间  1-4周 自由地点,1.0,物理学院,否,理论+实践课程,自由时间,2021-2022-3,,2021202231200133001,"2019物理学院物理学,2020物理学院物理学",0,仙林校区,2021-2022学年 暑期,01,自由地点,0.0,否,,5,8,,8,0,国际高能物理大科学装置“云”科考,,自由时间,,12001330
