XS,PKDWDM,JXBMC,WID,TXKCLB_DISPLAY,XXXQDM,XGXKLBDM_DISPLAY,XKZRS,SKZC,PKZTDM,SKJS,YPSJDD,XF,PKDWDM_DISPLAY,SFXGXK_DISPLAY,KCFL1_DISPLAY,SKXQ,XNXQDM,TKJG,JXBID,SKBJ,SFTK,XXXQDM_DISPLAY,XNXQDM_DISPLAY,KXH,SKJAS,SYXS,SFTK_DISPLAY,XGXKLBDM,KCFL1,KTJSXS,TXKCLB,KCSJXS,SFXGXK,KCM,JXLDM,SKJC,JXLDM_DISPLAY,KCH
32.0,400340,足球初级01班,20232024300040070A01,体育课,3,,14,1-2周,0,程涛,自由时间  1-2周 仙林校区四组团体育馆一楼,0.75,体育部,否,实践类课程,自由时间,2023-2024-3,,20232024300040070A01,,0,仙林校区,2023-2024学年 暑期,01,仙林校区四组团体育馆一楼,0.0,否,,3,2,04,30,0,足球初级,,自由时间,,00040070A
32.0,100110,军事技能训练01班,2023202430005003001,军事课,1,,0,1-2周,2,,自由时间  1-2周 ,2.0,人民武装部,是,实践类课程,自由时间,2023-2024-3,,2023202430005003001,,0,鼓楼校区,2023-2024学年 暑期,01,无,0.0,否,,3,0,05,32,1,军事技能训练,,自由时间,,00050030
16.0,400320,创意美育实践01班,20232024300302390S01,,3,通识课,24,1-4周,0,祁林,自由时间  1-4周 江苏大剧院,1.0,艺术学院,否,实践类课程,自由时间,2023-2024-3,,20232024300302390S01,,0,仙林校区,2023-2024学年 暑期,01,江苏大剧院,0.0,否,01,3,0,,16,0,创意美育实践,,自由时间,,00302390S
32.0,400190,认识地球01班,2023202430034155001,,3,通识课,54,1-4周,1,"董少春,尹宏伟",自由时间  1-4周 自由地点,2.0,地球科学与工程学院,是,理论类课程,自由时间,2023-2024-3,,2023202430034155001,2023公共课程通识课,0,仙林校区,2023-2024学年 暑期,01,自由地点,0.0,否,01,1,32,,0,1,认识地球,,自由时间,,00341550
32.0,400030,走近中华优秀传统文化01班,2023202430037172001,,3,通识课,102,7-14周,1,"张亮,胡星铭,邵佳德",自由时间  7-14周 自由地点,2.0,哲学学院,是,理论类课程,自由时间,2023-2024-3,,2023202430037172001,2023公共课程通识课,0,仙林校区,2023-2024学年 暑期,01,自由地点,0.0,否,01,1,32,,0,1,走近中华优秀传统文化,,自由时间,,00371720
16.0,400030,当代社会中的科学与技术01班,2023202430037213001,,3,通识课,92,7-14周,1,"刘鹏,郭明姬",自由时间  7-14周 自由地点,1.0,哲学学院,是,理论类课程,自由时间,2023-2024-3,,2023202430037213001,2023公共课程通识课,0,仙林校区,2023-2024学年 暑期,01,自由地点,0.0,否,01,1,16,,0,1,当代社会中的科学与技术,,自由时间,,00372130
32.0,400020,重寻古典：中国历史文化遗存实践考察01班,2023202430211098001,,3,,27,1周,2,何鑫,自由时间  1周 博物馆、革命纪念馆,2.0,历史学院,否,实践类课程,自由时间,2023-2024-3,,2023202430211098001,"2021历史学院考古学,2021历史学院历史学（强基计划）,2021历史学院考古学（文物鉴定方向）,2021历史学院历史学",0,仙林校区,2023-2024学年 暑期,01,博物馆、革命纪念馆,0.0,否,,3,0,,32,0,重寻古典：中国历史文化遗存实践考察,,自由时间,,02110980
32.0,400050,专业实习(一)01班,20232024303000800A01,,3,,124,1-4周,2,路敏玥,自由时间  1-4周 自由地点,2.0,法学院,否,实践类课程,自由时间,2023-2024-3,,20232024303000800A01,2022法学院法学,0,仙林校区,2023-2024学年 暑期,01,自由地点,0.0,否,,3,0,,32,0,专业实习(一),,自由时间,,03000800A
32.0,400050,专业实习(二)01班,20232024303000800B01,,3,,120,1-4周,2,平凡,自由时间  1-4周 自由地点,2.0,法学院,否,实践类课程,自由时间,2023-2024-3,,20232024303000800B01,"2021法学院法学（运动员班）,2021法学院法学",0,仙林校区,2023-2024学年 暑期,01,自由地点,0.0,否,,3,0,,32,0,专业实习(二),,自由时间,,03000800B
16.0,400030,精神分析与现代性反思01班,2023202430401168001,,3,,12,"1-2周,1-2周,1-2周,1-2周",2,黄玮杰,"周一 9-10节 1-2周 仙Ⅱ-101, 周二 9-10节 1-2周 仙Ⅱ-101, 周三 9-10节 1-2周 仙Ⅱ-101, 周四 9-10节 1-2周 仙Ⅱ-101",1.0,哲学学院,否,理论类课程,"周一,周二,周三,周四",2023-2024-3,,2023202430401168001,"2022哲学学院哲学（强基计划）,2022哲学学院哲学（拔尖计划）,2022哲学学院哲学",0,仙林校区,2023-2024学年 暑期,01,"仙Ⅱ-101,仙Ⅱ-101,仙Ⅱ-101,仙Ⅱ-101",0.0,否,,1,16,,0,0,精神分析与现代性反思,12,"第9节-第10节,第9节-第10节,第9节-第10节,第9节-第10节",仙II区,04011680
