XS,PKDWDM,JXBMC,WID,TXKCLB_DISPLAY,XXXQDM,XGXKLBDM_DISPLAY,XKZRS,SKZC,PKZTDM,SKJS,YPSJDD,XF,PKDWDM_DISPLAY,SFXGXK_DISPLAY,KCFL1_DISPLAY,SKXQ,XNXQDM,TKJG,JXBID,SKBJ,SFTK,XXXQDM_DISPLAY,XNXQDM_DISPLAY,KXH,SKJAS,SYXS,SFTK_DISPLAY,XGXKLBDM,KCFL1,KTJSXS,TXKCLB,KCSJXS,SFXGXK,KCM,JXLDM,SKJC,JXLDM_DISPLAY,KCH
48.0,400290,马克思主义基本原理概论(20211-00000010-9),2021100000010101722,思政课,3,,95,1-17周,2,黄秋霞,周二 9-11节 1-17周 仙Ⅱ-306,3.0,马克思主义学院,否,,周二,2021-2022-1,,2021100000010101722,"2020天文与空间科学学院天文学类,2020建筑与城市规划学院城乡规划,2020建筑与城市规划学院建筑学",0,仙林校区,2021-2022学年 第1学期,101722,仙Ⅱ-306,,否,,,32,00,16,0,马克思主义基本原理概论,12,第9节-第11节,仙II区,00000010
48.0,400290,马克思主义基本原理概论(20211-00000010-11),2021100000010101727,思政课,3,,48,1-17周,0,王雪,1-17周 周一 第9节-第11节 仙Ⅱ-216,3.0,马克思主义学院,否,,周一,2021-2022-1,,2021100000010101727,"2019大气科学学院大气科学,2019大气科学学院应用气象学",0,仙林校区,2021-2022学年 第1学期,101727,仙Ⅱ-216,,否,,,32,00,16,0,马克思主义基本原理概论,12,第9节-第11节,仙II区,00000010
48.0,400290,马克思主义基本原理概论(20211-00000010-16),2021100000010101805,思政课,3,,114,1-17周,0,李乾坤,1-17周 周四 第5节-第7节 逸B-205,3.0,马克思主义学院,否,,周四,2021-2022-1,,2021100000010101805,"2001政府管理学院行政管理,2010政府管理学院行政管理",0,仙林校区,2021-2022学年 第1学期,101805,逸B-205,,否,,,32,00,16,0,马克思主义基本原理概论,16,第5节-第7节,逸夫楼B区,00000010
48.0,400290,思想道德修养与法律基础(20211-00000020-1),2021100000020102307,思政课,3,,106,"1-17周,2-16周(双)",0,刘冰菁,"1-17周 周三 第7节-第8节 仙Ⅱ-304,2-16周(双) 周五 第9节-第10节 仙Ⅱ-304",3.0,马克思主义学院,否,理论类课程,"周三,周五",2021-2022-1,,2021100000020102307,"2019电子科学与工程学院电子信息科学与技术,2019电子科学与工程学院集成电路设计与集成系统,2019电子科学与工程学院微电子科学与工程,2019电子科学与工程学院通信工程",0,仙林校区,2021-2022学年 第1学期,102307,"仙Ⅱ-304,仙Ⅱ-304",0.0,否,,1,48,00,0,0,思想道德修养与法律基础,12,"第7节-第8节,第9节-第10节",仙II区,00000020
48.0,400290,思想道德修养与法律基础(20211-00000020-2),2021100000020102308,思政课,3,,93,"1-17周,1-17周(单)",0,刘冰菁,"1-17周 周二 第9节-第10节 仙Ⅱ-303,1-17周(单) 周五 第9节-第10节 仙Ⅱ-303",3.0,马克思主义学院,否,理论类课程,"周二,周五",2021-2022-1,,2021100000020102308,"2019电子科学与工程学院电子信息科学与技术,2019电子科学与工程学院集成电路设计与集成系统,2019电子科学与工程学院微电子科学与工程,2019电子科学与工程学院通信工程",0,仙林校区,2021-2022学年 第1学期,102308,"仙Ⅱ-303,仙Ⅱ-303",0.0,否,,1,48,00,0,0,思想道德修养与法律基础,12,"第9节-第10节,第9节-第10节",仙II区,00000020
48.0,400290,毛泽东思想和中国特色社会主义理论体系概论（理论部分）(20211-00000030A-1),2021100000030A101554,思政课,3,,110,1-17周,0,李洪波,1-17周 周一 第2节-第4节 逸B-313,3.0,马克思主义学院,否,理论类课程,周一,2021-2022-1,,2021100000030A101554,"2019计算机学院计算机科学与技术,2019计算机学院计算机科学与技术（拔尖计划）",0,仙林校区,2021-2022学年 第1学期,101554,逸B-313,0.0,否,,1,48,00,0,0,毛泽东思想和中国特色社会主义理论体系概论（理论部分）,16,第2节-第4节,逸夫楼B区,00000030A
48.0,400290,毛泽东思想和中国特色社会主义理论体系概论（理论部分）(20211-00000030A-2),2021100000030A101587,思政课,3,,113,1-17周,0,李洪波,1-17周 周一 第9节-第11节 逸B-313,3.0,马克思主义学院,否,理论类课程,周一,2021-2022-1,,2021100000030A101587,"2019计算机学院计算机科学与技术,2019计算机学院计算机科学与技术（拔尖计划）",0,仙林校区,2021-2022学年 第1学期,101587,逸B-313,0.0,否,,1,48,00,0,0,毛泽东思想和中国特色社会主义理论体系概论（理论部分）,16,第9节-第11节,逸夫楼B区,00000030A
48.0,400290,毛泽东思想和中国特色社会主义理论体系概论（理论部分）(20211-00000030A-3),2021100000030A101590,思政课,3,,98,1-17周,0,沈伯平,1-17周 周三 第9节-第11节 仙Ⅱ-406,3.0,马克思主义学院,否,理论类课程,周三,2021-2022-1,,2021100000030A101590,"2019商学院经济学,2019商学院经济学（产业经济方向）,2019商学院国际经济与贸易",0,仙林校区,2021-2022学年 第1学期,101590,仙Ⅱ-406,0.0,否,,1,48,00,0,0,毛泽东思想和中国特色社会主义理论体系概论（理论部分）,12,第9节-第11节,仙II区,00000030A
48.0,400290,毛泽东思想和中国特色社会主义理论体系概论（理论部分）(20211-00000030A-4),2021100000030A101596,思政课,3,,75,1-17周,0,沈伯平,1-17周 周三 第2节-第4节 仙Ⅰ-104,3.0,马克思主义学院,否,理论类课程,周三,2021-2022-1,,2021100000030A101596,"2019商学院金融学,2019商学院金融工程,2019商学院保险学",0,仙林校区,2021-2022学年 第1学期,101596,仙Ⅰ-104,0.0,否,,1,48,00,0,0,毛泽东思想和中国特色社会主义理论体系概论（理论部分）,11,第2节-第4节,仙I区,00000030A
48.0,400290,毛泽东思想和中国特色社会主义理论体系概论（理论部分）(20211-00000030A-5),2021100000030A101600,思政课,3,,88,1-17周,0,丁蕖,1-17周 周四 第5节-第7节 逸C-420,3.0,马克思主义学院,否,理论类课程,周四,2021-2022-1,,2021100000030A101600,"2019环境学院环境工程,2019环境学院环境科学（环规）,2019环境学院环境科学（环生）,2019环境学院环境科学（环化）",0,仙林校区,2021-2022学年 第1学期,101600,逸C-420,0.0,否,,1,48,00,0,0,毛泽东思想和中国特色社会主义理论体系概论（理论部分）,17,第5节-第7节,逸夫楼C区,00000030A
48.0,400290,毛泽东思想和中国特色社会主义理论体系概论（理论部分）(20211-00000030A-6),2021100000030A101605,思政课,3,,119,1-17周,0,丁蕖,1-17周 周一 第5节-第7节 逸B-104,3.0,马克思主义学院,否,理论类课程,周一,2021-2022-1,,2021100000030A101605,"2020文学院汉语言文学,2020文学院汉语言文学（古文字学方向）（强基计划）,2020文学院戏剧影视文学",0,仙林校区,2021-2022学年 第1学期,101605,逸B-104,0.0,否,,1,48,00,0,0,毛泽东思想和中国特色社会主义理论体系概论（理论部分）,16,第5节-第7节,逸夫楼B区,00000030A
48.0,400290,毛泽东思想和中国特色社会主义理论体系概论（理论部分）(20211-00000030A-7),2021100000030A101607,思政课,3,,114,1-17周,0,张明,1-17周 周三 第2节-第4节 逸B-313,3.0,马克思主义学院,否,理论类课程,周三,2021-2022-1,,2021100000030A101607,"2019工程管理学院自动化,2019工程管理学院金融工程（计算机与金融工程方向）,2019工程管理学院金融工程,2019工程管理学院工业工程",0,仙林校区,2021-2022学年 第1学期,101607,逸B-313,0.0,否,,1,48,00,0,0,毛泽东思想和中国特色社会主义理论体系概论（理论部分）,16,第2节-第4节,逸夫楼B区,00000030A
48.0,400290,毛泽东思想和中国特色社会主义理论体系概论（理论部分）(20211-00000030A-8),2021100000030A101610,思政课,3,,120,1-17周,0,武海宝,1-17周 周四 第2节-第4节 图书馆125,3.0,马克思主义学院,否,理论类课程,周四,2021-2022-1,,2021100000030A101610,2020软件学院软件工程,0,仙林校区,2021-2022学年 第1学期,101610,图书馆125,0.0,否,,1,48,00,0,0,毛泽东思想和中国特色社会主义理论体系概论（理论部分）,18,第2节-第4节,图书馆,00000030A
48.0,400290,毛泽东思想和中国特色社会主义理论体系概论（理论部分）(20211-00000030A-9),2021100000030A101616,思政课,3,,120,1-17周,0,武海宝,1-17周 周五 第2节-第4节 图书馆125,3.0,马克思主义学院,否,理论类课程,周五,2021-2022-1,,2021100000030A101616,2020软件学院软件工程,0,仙林校区,2021-2022学年 第1学期,101616,图书馆125,0.0,否,,1,48,00,0,0,毛泽东思想和中国特色社会主义理论体系概论（理论部分）,18,第2节-第4节,图书馆,00000030A
