XS,PKDWDM,JXBMC,WID,TXKCLB_DISPLAY,XXXQDM,XGXKLBDM_DISPLAY,XKZRS,SKZC,PKZTDM,SKJS,YPSJDD,XF,PKDWDM_DISPLAY,SFXGXK_DISPLAY,KCFL1_DISPLAY,SKXQ,XNXQDM,TKJG,JXBID,SKBJ,SFTK,XXXQDM_DISPLAY,XNXQDM_DISPLAY,KXH,SKJAS,SYXS,SFTK_DISPLAY,XGXKLBDM,KCFL1,KTJSXS,TXKCLB,KCSJXS,SFXGXK,KCM,JXLDM,SKJC,JXLDM_DISPLAY,KCH
32.0,400010,文学概论（上）(20081-01001A-1),2008101001A7357,,2,,91,1-17周,0,汪正龙,1-17周 周三 第3节-第4节 浦3-209,2.0,文学院,否,,周三,2008-2009-1,,2008101001A7357,2006文学院汉语言文学,0,浦口校区,2008-2009学年 第1学期,7357,浦3-209,,否,,,,,,0,文学概论（上）,23,第3节-第4节,浦III区,01001A
32.0,400010,文学概论（上）(20081-01001A-2),2008101001A7359,,2,,89,1-17周,0,周计武,1-17周 周三 第3节-第4节 浦3-210,2.0,文学院,否,,周三,2008-2009-1,,2008101001A7359,2006文学院汉语言文学,0,浦口校区,2008-2009学年 第1学期,7359,浦3-210,,否,,,,,,0,文学概论（上）,23,第3节-第4节,浦III区,01001A
48.0,400010,语言学概论(20081-01002-1),20081010027273,,2,,0,1-17周,0,王玲,1-17周 周一 第5节-第7节 浦3-404,3.0,文学院,否,,周一,2008-2009-1,,20081010027273,2006文学院汉语言文学,0,浦口校区,2008-2009学年 第1学期,7273,浦3-404,,否,,,,,,0,语言学概论,23,第5节-第7节,浦III区,01002
48.0,400010,古代汉语（上）(20081-01003A-1),2008101003A8046,,1,,22,"1-17周,1-17周",0,"柳士镇,顾涛","1-17周 周二 第3节-第4节 馆2-106,1-17周 周四 第3节-第4节 馆2-106",3.0,文学院,否,,"周二,周四",2008-2009-1,,2008101003A8046,2008文学院汉语言文学(作家班),0,鼓楼校区,2008-2009学年 第1学期,8046,"馆2-106,馆2-106",,否,,,,,,0,古代汉语（上）,8,"第3节-第4节,第3节-第4节",逸夫馆,01003A
48.0,400010,古代汉语（下）(20081-01003B-1),2008101003B9903,,2,,0,"1-17周,1-17周",0,高小方,"1-17周 周一 第3节-第4节 浦3-222,1-17周 周三 第3节-第4节 浦3-222",3.0,文学院,否,,"周一,周三",2008-2009-1,,2008101003B9903,,0,浦口校区,2008-2009学年 第1学期,9903,"浦3-222,浦3-222",,否,,,,,,0,古代汉语（下）,23,"第3节-第4节,第3节-第4节",浦III区,01003B
48.0,400010,古代汉语（下）(20081-01003B-2),2008101003B9906,,2,,0,"1-17周,1-17周",0,陈文杰,"1-17周 周一 第3节-第4节 浦3-304,1-17周 周三 第3节-第4节 浦3-304",3.0,文学院,否,,"周一,周三",2008-2009-1,,2008101003B9906,,0,浦口校区,2008-2009学年 第1学期,9906,"浦3-304,浦3-304",,否,,,,,,0,古代汉语（下）,23,"第3节-第4节,第3节-第4节",浦III区,01003B
64.0,400010,现代汉语(20081-01004-1),20081010048036,,1,,22,"1-17周,1-17周",0,陈光,"1-17周 周一 第3节-第4节 馆2-106,1-17周 周三 第5节-第6节 馆2-106",4.0,文学院,否,,"周一,周三",2008-2009-1,,20081010048036,2008文学院汉语言文学(作家班),0,鼓楼校区,2008-2009学年 第1学期,8036,"馆2-106,馆2-106",,否,,,,,,0,现代汉语,8,"第3节-第4节,第5节-第6节",逸夫馆,01004
48.0,400010,中国古代文学（一）(20081-01005A-1),2008101005A9891,,2,,101,1-17周,0,徐雁平,1-17周 周二 第5节-第7节 浦3-211,3.0,文学院,否,,周二,2008-2009-1,,2008101005A9891,,0,浦口校区,2008-2009学年 第1学期,9891,浦3-211,,否,,,,,,0,中国古代文学（一）,23,第5节-第7节,浦III区,01005A
48.0,400010,中国古代文学（一）(20081-01005A-2),2008101005A9894,,2,,101,1-17周,0,孙立尧,1-17周 周二 第5节-第7节 浦3-213,3.0,文学院,否,,周二,2008-2009-1,,2008101005A9894,,0,浦口校区,2008-2009学年 第1学期,9894,浦3-213,,否,,,,,,0,中国古代文学（一）,23,第5节-第7节,浦III区,01005A
48.0,400010,中国古代文学（三）(20081-01005C-1),2008101005C9897,,2,,94,1-17周,0,金程宇,1-17周 周三 第5节-第7节 浦3-315,3.0,文学院,否,,周三,2008-2009-1,,2008101005C9897,,0,浦口校区,2008-2009学年 第1学期,9897,浦3-315,,否,,,,,,0,中国古代文学（三）,23,第5节-第7节,浦III区,01005C
