XS,PKDWDM,JXBMC,WID,TXKCLB_DISPLAY,XXXQDM,XGXKLBDM_DISPLAY,XKZRS,SKZC,PKZTDM,SKJS,YPSJDD,XF,PKDWDM_DISPLAY,SFXGXK_DISPLAY,KCFL1_DISPLAY,SKXQ,XNXQDM,TKJG,JXBID,SKBJ,SFTK,XXXQDM_DISPLAY,XNXQDM_DISPLAY,KXH,SKJAS,SYXS,SFTK_DISPLAY,XGXKLBDM,KCFL1,KTJSXS,TXKCLB,KCSJXS,SFXGXK,KCM,JXLDM,SKJC,JXLDM_DISPLAY,KCH
48.0,400080,马克思主义基本原理概论(20092-000010-1),2009200001036121,,3,,86,1-17周,0,陈建,1-17周 周四 第5节-第6节 仙Ⅱ-311,3.0,政府管理学院,否,,周四,2009-2010-2,,2009200001036121,2009计算机学院计算机科学类,0,仙林校区,2009-2010学年 第2学期,36121,仙Ⅱ-311,,否,,,,,,0,马克思主义基本原理概论,12,第5节-第6节,仙II区,000010
48.0,400080,马克思主义基本原理概论(20092-000010-2),2009200001036122,,3,,86,1-17周,0,陈建,1-17周 周四 第7节-第8节 仙Ⅱ-311,3.0,政府管理学院,否,,周四,2009-2010-2,,2009200001036122,2009计算机学院计算机科学类,0,仙林校区,2009-2010学年 第2学期,36122,仙Ⅱ-311,,否,,,,,,0,马克思主义基本原理概论,12,第7节-第8节,仙II区,000010
48.0,400080,马克思主义基本原理概论(20092-000010-3),2009200001036331,,3,,36,1-17周,0,王培暄,1-17周 周三 第5节-第6节 仙Ⅱ-315,3.0,政府管理学院,否,,周三,2009-2010-2,,2009200001036331,,0,仙林校区,2009-2010学年 第2学期,36331,仙Ⅱ-315,,否,,,,,,0,马克思主义基本原理概论,12,第5节-第6节,仙II区,000010
48.0,400080,马克思主义基本原理概论(20092-000010-4),2009200001036334,,3,,67,1-17周,0,王锁明,1-17周 周四 第5节-第6节 逸B-303,3.0,政府管理学院,否,,周四,2009-2010-2,,2009200001036334,,0,仙林校区,2009-2010学年 第2学期,36334,逸B-303,,否,,,,,,0,马克思主义基本原理概论,16,第5节-第6节,逸夫楼B区,000010
48.0,400080,马克思主义基本原理概论(20092-000010-5),2009200001036335,,3,,71,1-17周,0,王锁明,1-17周 周四 第7节-第8节 逸B-303,3.0,政府管理学院,否,,周四,2009-2010-2,,2009200001036335,,0,仙林校区,2009-2010学年 第2学期,36335,逸B-303,,否,,,,,,0,马克思主义基本原理概论,16,第7节-第8节,逸夫楼B区,000010
48.0,400080,马克思主义基本原理概论(20092-000010-6),2009200001036337,,3,,96,1-17周,0,周春梅,1-17周 周四 第3节-第4节 仙Ⅱ-114,3.0,政府管理学院,否,,周四,2009-2010-2,,2009200001036337,,0,仙林校区,2009-2010学年 第2学期,36337,仙Ⅱ-114,,否,,,,,,0,马克思主义基本原理概论,12,第3节-第4节,仙II区,000010
48.0,400080,马克思主义基本原理概论(20092-000010-7),2009200001036338,,3,,96,1-17周,0,周春梅,1-17周 周四 第5节-第6节 仙Ⅱ-217,3.0,政府管理学院,否,,周四,2009-2010-2,,2009200001036338,,0,仙林校区,2009-2010学年 第2学期,36338,仙Ⅱ-217,,否,,,,,,0,马克思主义基本原理概论,12,第5节-第6节,仙II区,000010
48.0,400080,思想道德修养与法律基础(20092-000020-1),2009200002036117,,3,,110,1-17周,0,吴翠丽,1-17周 周三 第5节-第6节 仙Ⅰ-101,3.0,政府管理学院,否,,周三,2009-2010-2,,2009200002036117,2009新闻传播学院新闻传播学类,0,仙林校区,2009-2010学年 第2学期,36117,仙Ⅰ-101,,否,,,,,,0,思想道德修养与法律基础,11,第5节-第6节,仙I区,000020
48.0,400080,思想道德修养与法律基础(20092-000020-3),2009200002036119,,3,,38,1-17周,0,郭云峰,1-17周 周二 第3节-第4节 仙Ⅱ-115,3.0,政府管理学院,否,,周二,2009-2010-2,,2009200002036119,2009新闻传播学院新闻学（运动员班）,0,仙林校区,2009-2010学年 第2学期,36119,仙Ⅱ-115,,否,,,,,,0,思想道德修养与法律基础,12,第3节-第4节,仙II区,000020
48.0,400080,思想道德修养与法律基础(20092-000020-4),2009200002036120,,3,,32,1-17周,0,戴雪红,1-17周 周四 第9节-第10节 逸B-111,3.0,政府管理学院,否,,周四,2009-2010-2,,2009200002036120,2009文学院戏剧影视文学,0,仙林校区,2009-2010学年 第2学期,36120,逸B-111,,否,,,,,,0,思想道德修养与法律基础,16,第9节-第10节,逸夫楼B区,000020
48.0,400080,思想道德修养与法律基础(20092-000020-4),2009200002036348,,3,,76,1-17周,0,吴翠丽,1-17周 周三 第3节-第4节 仙Ⅰ-101,3.0,政府管理学院,否,,周三,2009-2010-2,,2009200002036348,,0,仙林校区,2009-2010学年 第2学期,36348,仙Ⅰ-101,,否,,,,,,0,思想道德修养与法律基础,11,第3节-第4节,仙I区,000020
48.0,400080,思想道德修养与法律基础(20092-000020-5),2009200002036349,,3,,97,1-17周,0,暴庆刚,1-17周 周四 第3节-第4节 仙Ⅱ-311,3.0,政府管理学院,否,,周四,2009-2010-2,,2009200002036349,2009文学院汉语言文学（拔尖计划）,0,仙林校区,2009-2010学年 第2学期,36349,仙Ⅱ-311,,否,,,,,,0,思想道德修养与法律基础,12,第3节-第4节,仙II区,000020
48.0,400080,思想道德修养与法律基础(20092-000020-6),2009200002036350,,3,,65,1-17周,0,暴庆刚,1-17周 周四 第7节-第8节 仙Ⅱ-211,3.0,政府管理学院,否,,周四,2009-2010-2,,2009200002036350,,0,仙林校区,2009-2010学年 第2学期,36350,仙Ⅱ-211,,否,,,,,,0,思想道德修养与法律基础,12,第7节-第8节,仙II区,000020
48.0,400080,思想道德修养与法律基础(20092-000020-7),2009200002036351,,3,,70,1-17周,0,暴庆刚,1-17周 周四 第9节-第10节 仙Ⅱ-211,3.0,政府管理学院,否,,周四,2009-2010-2,,2009200002036351,2009匡亚明学院应用文科强化班,0,仙林校区,2009-2010学年 第2学期,36351,仙Ⅱ-211,,否,,,,,,0,思想道德修养与法律基础,12,第9节-第10节,仙II区,000020
48.0,400080,思想道德修养与法律基础(20092-000020-8),2009200002036356,,3,,88,1-17周,0,张伟,1-17周 周四 第5节-第6节 逸B-410,3.0,政府管理学院,否,,周四,2009-2010-2,,2009200002036356,,0,仙林校区,2009-2010学年 第2学期,36356,逸B-410,,否,,,,,,0,思想道德修养与法律基础,16,第5节-第6节,逸夫楼B区,000020
48.0,400080,思想道德修养与法律基础(20092-000020-9),2009200002036357,,3,,94,1-17周,0,张伟,1-17周 周四 第7节-第8节 逸B-410,3.0,政府管理学院,否,,周四,2009-2010-2,,2009200002036357,,0,仙林校区,2009-2010学年 第2学期,36357,逸B-410,,否,,,,,,0,思想道德修养与法律基础,16,第7节-第8节,逸夫楼B区,000020
48.0,400080,思想道德修养与法律基础(20092-000020-10),2009200002036358,,3,,119,1-17周,0,张伟,1-17周 周四 第3节-第4节 仙Ⅰ-524,3.0,政府管理学院,否,,周四,2009-2010-2,,2009200002036358,,0,仙林校区,2009-2010学年 第2学期,36358,仙Ⅰ-524,,否,,,,,,0,思想道德修养与法律基础,11,第3节-第4节,仙I区,000020
48.0,400080,思想道德修养与法律基础(20092-000020-11),2009200002036359,,3,,64,1-17周,0,李喜英,1-17周 周五 第5节-第6节 逸B-303,3.0,政府管理学院,否,,周五,2009-2010-2,,2009200002036359,,0,仙林校区,2009-2010学年 第2学期,36359,逸B-303,,否,,,,,,0,思想道德修养与法律基础,16,第5节-第6节,逸夫楼B区,000020
48.0,400080,思想道德修养与法律基础(20092-000020-12),2009200002036360,,3,,71,1-17周,0,李喜英,1-17周 周五 第7节-第8节 逸B-303,3.0,政府管理学院,否,,周五,2009-2010-2,,2009200002036360,,0,仙林校区,2009-2010学年 第2学期,36360,逸B-303,,否,,,,,,0,思想道德修养与法律基础,16,第7节-第8节,逸夫楼B区,000020
48.0,400080,思想道德修养与法律基础(20092-000020-13),2009200002036361,,3,,27,1-17周,0,李喜英,1-17周 周五 第3节-第4节 仙Ⅱ-115,3.0,政府管理学院,否,,周五,2009-2010-2,,2009200002036361,,0,仙林校区,2009-2010学年 第2学期,36361,仙Ⅱ-115,,否,,,,,,0,思想道德修养与法律基础,12,第3节-第4节,仙II区,000020
48.0,400080,思想道德修养与法律基础(20092-000020-14),2009200002036362,,3,,93,1-17周,0,戴雪红,1-17周 周四 第5节-第6节 逸B-405,3.0,政府管理学院,否,,周四,2009-2010-2,,2009200002036362,,0,仙林校区,2009-2010学年 第2学期,36362,逸B-405,,否,,,,,,0,思想道德修养与法律基础,16,第5节-第6节,逸夫楼B区,000020
48.0,400080,思想道德修养与法律基础(20092-000020-15),2009200002036363,,3,,95,1-17周,0,戴雪红,1-17周 周四 第7节-第8节 逸B-405,3.0,政府管理学院,否,,周四,2009-2010-2,,2009200002036363,,0,仙林校区,2009-2010学年 第2学期,36363,逸B-405,,否,,,,,,0,思想道德修养与法律基础,16,第7节-第8节,逸夫楼B区,000020
48.0,400080,思想道德修养与法律基础(20092-000020-16),2009200002036364,,3,,194,1-17周,0,郭云峰,1-17周 周四 第7节-第8节 逸B-313,3.0,政府管理学院,否,,周四,2009-2010-2,,2009200002036364,"2009外国语学院英语,2009外国语学院朝鲜语,2009外国语学院俄语",0,仙林校区,2009-2010学年 第2学期,36364,逸B-313,,否,,,,,,0,思想道德修养与法律基础,16,第7节-第8节,逸夫楼B区,000020
48.0,400080,思想道德修养与法律基础(20092-000020-18),2009200002036366,,3,,97,1-17周,0,郭云峰,1-17周 周四 第5节-第6节 逸B-313,3.0,政府管理学院,否,,周四,2009-2010-2,,2009200002036366,"2009外国语学院日语,2009外国语学院西班牙语,2009外国语学院德语,2009外国语学院法语",0,仙林校区,2009-2010学年 第2学期,36366,逸B-313,,否,,,,,,0,思想道德修养与法律基础,16,第5节-第6节,逸夫楼B区,000020
32.0,400020,中国近现代史纲要(20092-000040-1),2009200004036639,,3,,224,1-16周,0,"杨骏,张生",1-16周 周二 第5节-第6节 仙Ⅰ-107,2.0,历史学院,否,,周二,2009-2010-2,,2009200004036639,"2009外国语学院英语,2009外国语学院朝鲜语,2009外国语学院西班牙语,2009外国语学院德语,2009外国语学院法语,2009外国语学院日语,2009外国语学院俄语",0,仙林校区,2009-2010学年 第2学期,36639,仙Ⅰ-107,,否,,,,,,0,中国近现代史纲要,11,第5节-第6节,仙I区,000040
32.0,400020,中国近现代史纲要(20092-000040-2),2009200004036640,,3,,293,1-16周,0,"姜良芹,任玲玲",1-16周 周三 第3节-第4节 仙Ⅰ-106,2.0,历史学院,否,,周三,2009-2010-2,,2009200004036640,"2009新闻传播学院新闻传播学类,2009新闻传播学院新闻学（运动员班）",0,仙林校区,2009-2010学年 第2学期,36640,仙Ⅰ-106,,否,,,,,,0,中国近现代史纲要,11,第3节-第4节,仙I区,000040
32.0,400020,中国近现代史纲要(20092-000040-3),2009200004036642,,3,,295,1-16周,0,"曹大臣,李恭忠",1-16周 周二 第5节-第6节 仙Ⅰ-106,2.0,历史学院,否,,周二,2009-2010-2,,2009200004036642,,0,仙林校区,2009-2010学年 第2学期,36642,仙Ⅰ-106,,否,,,,,,0,中国近现代史纲要,11,第5节-第6节,仙I区,000040
16.0,400260,形势与政策（上）(20092-000050A-1),20092000050A36326,,3,,27,1-17周(单),0,姜丞,1-17周(单) 周三 第7节-第8节 逸B-202,1.0,海外教育学院,否,,周三,2009-2010-2,,20092000050A36326,,0,仙林校区,2009-2010学年 第2学期,36326,逸B-202,,否,,,,,,0,形势与政策（上）,16,第7节-第8节,逸夫楼B区,000050A
16.0,400120,形势与政策（上）(20092-000050A-1),20092000050A36589,,3,,0,,0,,,1.0,物理学院,否,,,2009-2010-2,,20092000050A36589,,0,仙林校区,2009-2010学年 第2学期,36589,,,否,,,,,,0,形势与政策（上）,,,,000050A
