XS,PKDWDM,JXBMC,WID,TXKCLB_DISPLAY,XXXQDM,XGXKLBDM_DISPLAY,XKZRS,SKZC,PKZTDM,SKJS,YPSJDD,XF,PKDWDM_DISPLAY,SFXGXK_DISPLAY,KCFL1_DISPLAY,SKXQ,XNXQDM,TKJG,JXBID,SKBJ,SFTK,XXXQDM_DISPLAY,XNXQDM_DISPLAY,KXH,SKJAS,SYXS,SFTK_DISPLAY,XGXKLBDM,KCFL1,KTJSXS,TXKCLB,KCSJXS,SFXGXK,KCM,JXLDM,SKJC,JXLDM_DISPLAY,KCH
96.0,400110,微积分II与线性代数(第二层次)01班,20252026300010012B01,数学课,1,,1,1-17周,2,吴振,周一 1节 1-16周 ,5.0,数学学院,否,理论+实践课程,周一,2025-2026-3,,20252026300010012B01,2025测试院系测试专业,0,鼓楼校区,2025-2026学年 暑期,01,无,0.0,否,,5,64,01,32,0,微积分II与线性代数(第二层次),,第1节-第1节,,00010012B
32.0,400030,走近中华优秀传统文化01班,2025202630037172001,,3,通识课,120,2-4周,1,"张亮,邵佳德,胡星铭",自由时间  2-4周 自由地点,2.0,哲学学院,是,理论类课程,自由时间,2025-2026-3,,2025202630037172001,2025公共课程通识课,0,仙林校区,2025-2026学年 暑期,01,自由地点,0.0,否,01,1,32,,0,1,走近中华优秀传统文化,,自由时间,,00371720
16.0,400030,当代社会中的科学与技术01班,2025202630037213001,,3,通识课,120,2-4周,1,"郭明姬,刘鹏",自由时间  2-4周 自由地点,1.0,哲学学院,是,理论类课程,自由时间,2025-2026-3,,2025202630037213001,2025公共课程通识课,0,仙林校区,2025-2026学年 暑期,01,自由地点,0.0,否,01,1,16,,0,1,当代社会中的科学与技术,,自由时间,,00372130
16.0,000000,一词一世界——外刊时文共读01班,2025202630037214001,,3,通识课,115,2-4周,2,夏鹏,自由时间  2-4周 自由地点,1.0,公共课程,是,实践类课程,自由时间,2025-2026-3,,2025202630037214001,2025公共课程通识课,0,仙林校区,2025-2026学年 暑期,01,自由地点,0.0,否,01,3,0,,16,1,一词一世界——外刊时文共读,,自由时间,,00372140
32.0,400010,甲骨学01班,2025202630103236001,,3,,13,"1-4周,1-4周",2,"程少轩,聂菲,魏宜辉","周一 3-6节 1-4周 文学院433室, 周二 3-6节 1-4周 文学院433室",2.0,文学院,否,理论类课程,"周一,周二",2025-2026-3,,2025202630103236001,2024文学院汉语言文学（古文字学方向）（强基计划）,0,仙林校区,2025-2026学年 暑期,01,"文学院433室,文学院433室",0.0,否,,1,32,,0,0,甲骨学,,"第3节-第6节,第3节-第6节",,01032360
32.0,400020,重寻古典：中国历史文化遗存实践考察01班,2025202630211098001,,3,,23,1-2周,0,"王晓琪,徐一鸣,闵凡祥,田捷",自由时间  1-2周 自由地点,2.0,历史学院,否,实践类课程,自由时间,2025-2026-3,,2025202630211098001,"2023历史学院历史学（拔尖计划）,2023历史学院历史学（强基计划）,2023历史学院考古学,2023历史学院历史学,2023历史学院考古学（文物鉴定方向）",0,仙林校区,2025-2026学年 暑期,01,自由地点,0.0,否,,3,0,,32,0,重寻古典：中国历史文化遗存实践考察,,自由时间,,02110980
32.0,400020,走进非洲毛里求斯环境与发展跨学科科考与科研训练项目01班,20252026302111470S01,,3,,8,1-4周,0,刘立涛,自由时间  1-4周 毛里求斯,2.0,历史学院,否,实践类课程,自由时间,2025-2026-3,,20252026302111470S01,2023历史学院历史学,0,仙林校区,2025-2026学年 暑期,01,毛里求斯,0.0,否,,3,4,,28,0,走进非洲毛里求斯环境与发展跨学科科考与科研训练项目,,自由时间,,02111470S
180.0,400020,青年科学家长三角国际科研项目-楚国考古01班,2025202630221091001,,3,,2,1-4周,2,张良仁,自由时间  1-4周 自由地点,1.0,历史学院,否,理论+实践课程,自由时间,2025-2026-3,,2025202630221091001,,0,仙林校区,2025-2026学年 暑期,01,自由地点,0.0,否,,5,20,,160,0,青年科学家长三角国际科研项目-楚国考古,,自由时间,,02210910
32.0,400050,专业实习(一)01班,20252026303000800A01,,3,,129,1-4周,2,路敏玥,自由时间  1-4周 自由地点,2.0,法学院,否,实践类课程,自由时间,2025-2026-3,,20252026303000800A01,"2024法学院法学,2024法学院法学（涉外型卓越法律人才实验班）",0,仙林校区,2025-2026学年 暑期,01,自由地点,0.0,否,,3,0,,32,0,专业实习(一),,自由时间,,03000800A
32.0,400050,专业实习(二)01班,20252026303000800B01,,3,,134,1-4周,2,平凡,自由时间  1-4周 自由地点,2.0,法学院,否,实践类课程,自由时间,2025-2026-3,,20252026303000800B01,"2023法学院法学,2023法学院法学（涉外型卓越法律人才实验班）",0,仙林校区,2025-2026学年 暑期,01,自由地点,0.0,否,,3,0,,32,0,专业实习(二),,自由时间,,03000800B
