XS,PKDWDM,JXBMC,WID,TXKCLB_DISPLAY,XXXQDM,XGXKLBDM_DISPLAY,XKZRS,SKZC,PKZTDM,SKJS,YPSJDD,XF,PKDWDM_DISPLAY,SFXGXK_DISPLAY,KCFL1_DISPLAY,SKXQ,XNXQDM,TKJG,JXBID,SKBJ,SFTK,XXXQDM_DISPLAY,XNXQDM_DISPLAY,KXH,SKJAS,SYXS,SFTK_DISPLAY,XGXKLBDM,KCFL1,KTJSXS,TXKCLB,KCSJXS,SFXGXK,KCM,JXLDM,SKJC,JXLDM_DISPLAY,KCH
48.0,400080,马克思主义基本原理概论(20132-00000010-1),201320000001056318,思政课,3,,126,"1-18周,1-18周",0,陈建,"1-18周 周四 第1节-第2节 仙Ⅰ-207,1-18周 自由时间 - ",3.0,政府管理学院,否,,"周四,自由时间",2013-2014-2,,201320000001056318,"2012商学院金融学,2012商学院金融工程,2012商学院保险学",0,仙林校区,2013-2014学年 第2学期,56318,"仙Ⅰ-207,无",,否,,,32,00,16,0,马克思主义基本原理概论,11,"第1节-第2节,自由时间",仙I区,00000010
48.0,400080,马克思主义基本原理概论(20132-00000010-2),201320000001056319,思政课,3,,165,"1-18周,1-18周",0,陈建,"1-18周 周三 第9节-第10节 图书馆126,1-18周 自由时间 - ",3.0,政府管理学院,否,,"周三,自由时间",2013-2014-2,,201320000001056319,"2012商学院经济学,2012商学院经济学（产业经济方向）,2012商学院国际经济与贸易",0,仙林校区,2013-2014学年 第2学期,56319,"图书馆126,无",,否,,,32,00,16,0,马克思主义基本原理概论,18,"第9节-第10节,自由时间",图书馆,00000010
48.0,400080,马克思主义基本原理概论(20132-00000010-3),201320000001056320,思政课,3,,67,"1-18周,1-18周",0,陈建,"1-18周 周三 第5节-第6节 逸B-302,1-18周 自由时间 - ",3.0,政府管理学院,否,,"周三,自由时间",2013-2014-2,,201320000001056320,"2012社会学院社会学,2012社会学院应用心理学,2012社会学院社会工作",0,仙林校区,2013-2014学年 第2学期,56320,"逸B-302,无",,否,,,32,00,16,0,马克思主义基本原理概论,16,"第5节-第6节,自由时间",逸夫楼B区,00000010
48.0,400080,马克思主义基本原理概论(20132-00000010-4),201320000001056321,思政课,3,,85,"1-18周,1-18周",0,周春梅,"1-18周 周五 第7节-第8节 仙Ⅰ-102,1-18周 自由时间 - ",3.0,政府管理学院,否,,"周五,自由时间",2013-2014-2,,201320000001056321,"2012外国语学院英语,2012外国语学院法语",0,仙林校区,2013-2014学年 第2学期,56321,"仙Ⅰ-102,无",,否,,,32,00,16,0,马克思主义基本原理概论,11,"第7节-第8节,自由时间",仙I区,00000010
48.0,400080,马克思主义基本原理概论(20132-00000010-5),201320000001056322,思政课,3,,84,"1-18周,1-18周",0,周春梅,"1-18周 周五 第5节-第6节 仙Ⅰ-102,1-18周 自由时间 - ",3.0,政府管理学院,否,,"周五,自由时间",2013-2014-2,,201320000001056322,"2012外国语学院俄语,2012外国语学院朝鲜语,2012外国语学院西班牙语,2012外国语学院德语,2012外国语学院日语",0,仙林校区,2013-2014学年 第2学期,56322,"仙Ⅰ-102,无",,否,,,32,00,16,0,马克思主义基本原理概论,11,"第5节-第6节,自由时间",仙I区,00000010
48.0,400080,马克思主义基本原理概论(20132-00000010-6),201320000001056323,思政课,3,,77,"1-18周,1-18周",0,王培暄,"1-18周 周四 第9节-第10节 仙Ⅰ-102,1-18周 自由时间 - ",3.0,政府管理学院,否,,"周四,自由时间",2013-2014-2,,201320000001056323,"2013建筑与城市规划学院建筑学,2013建筑与城市规划学院城乡规划",0,仙林校区,2013-2014学年 第2学期,56323,"仙Ⅰ-102,无",,否,,,32,00,16,0,马克思主义基本原理概论,11,"第9节-第10节,自由时间",仙I区,00000010
48.0,400080,马克思主义基本原理概论(20132-00000010-7),201320000001056324,思政课,3,,110,"1-18周,1-17周",0,王培暄,"1-18周 周四 第5节-第6节 图书馆127,1-17周 自由时间 - ",3.0,政府管理学院,否,,"周四,自由时间",2013-2014-2,,201320000001056324,"2012商学院会计学,2012商学院电子商务,2012商学院财务管理",0,仙林校区,2013-2014学年 第2学期,56324,"图书馆127,无",,否,,,32,00,16,0,马克思主义基本原理概论,18,"第5节-第6节,自由时间",图书馆,00000010
48.0,400080,马克思主义基本原理概论(20132-00000010-8),201320000001056325,思政课,3,,113,"1-17周,1-17周",0,王培暄,"1-17周 周四 第7节-第8节 逸B-104,1-17周 自由时间 - ",3.0,政府管理学院,否,,"周四,自由时间",2013-2014-2,,201320000001056325,"2012商学院工商管理,2012商学院工商管理（人力资源管理方向）,2012商学院市场营销",0,仙林校区,2013-2014学年 第2学期,56325,"逸B-104,无",,否,,,32,00,16,0,马克思主义基本原理概论,16,"第7节-第8节,自由时间",逸夫楼B区,00000010
48.0,400080,马克思主义基本原理概论(20132-00000010-9),201320000001056326,思政课,3,,112,"1-18周,1-18周",0,曹永红,"1-18周 周四 第1节-第2节 仙Ⅱ-303,1-18周 自由时间 - ",3.0,政府管理学院,否,,"周四,自由时间",2013-2014-2,,201320000001056326,2013政府管理学院公共管理类,0,仙林校区,2013-2014学年 第2学期,56326,"仙Ⅱ-303,无",,否,,,32,00,16,0,马克思主义基本原理概论,12,"第1节-第2节,自由时间",仙II区,00000010
48.0,400080,马克思主义基本原理概论(20132-00000010-10),201320000001056327,思政课,3,,113,"1-18周,1-18周",0,曹永红,"1-18周 周四 第3节-第4节 逸B-205,1-18周 自由时间 - ",3.0,政府管理学院,否,,"周四,自由时间",2013-2014-2,,201320000001056327,"2012新闻传播学院新闻学,2012新闻传播学院广播电视新闻学,2012新闻传播学院广告学",0,仙林校区,2013-2014学年 第2学期,56327,"逸B-205,无",,否,,,32,00,16,0,马克思主义基本原理概论,16,"第3节-第4节,自由时间",逸夫楼B区,00000010
