XS,PKDWDM,JXBMC,WID,TXKCLB_DISPLAY,XXXQDM,XGXKLBDM_DISPLAY,XKZRS,SKZC,PKZTDM,SKJS,YPSJDD,XF,PKDWDM_DISPLAY,SFXGXK_DISPLAY,KCFL1_DISPLAY,SKXQ,XNXQDM,TKJG,JXBID,SKBJ,SFTK,XXXQDM_DISPLAY,XNXQDM_DISPLAY,KXH,SKJAS,SYXS,SFTK_DISPLAY,XGXKLBDM,KCFL1,KTJSXS,TXKCLB,KCSJXS,SFXGXK,KCM,JXLDM,SKJC,JXLDM_DISPLAY,KCH
32.0,400010,文学概论（上）,2006101001A29974,,2,,0,1-18周,0,汪正龙,1-18周 周三 第3节-第4节 ,2.0,文学院,否,,周三,2006-2007-1,,2006101001A29974,,0,浦口校区,2006-2007学年 第1学期,29974,无,,否,,,,,,0,文学概论（上）,,第3节-第4节,,01001A
48.0,400010,语言学概论,200610100231703,,2,,0,1-18周,0,盛林,1-18周 周四 第5节-第7节 ,3.0,文学院,否,,周四,2006-2007-1,,200610100231703,,0,浦口校区,2006-2007学年 第1学期,31703,无,,否,,,,,,0,语言学概论,,第5节-第7节,,01002
48.0,400010,古代汉语（下）,2006101003B28199,,2,,0,"1-18周,1-18周",0,"陈文杰,魏宜辉","1-18周 周二 第5节-第6节 ,1-18周 周二 第5节-第6节 ",3.0,文学院,否,,"周二,周二",2006-2007-1,,2006101003B28199,,0,浦口校区,2006-2007学年 第1学期,28199,"无,无",,否,,,,,,0,古代汉语（下）,,"第5节-第6节,第5节-第6节",,01003B
32.0,400010,现代汉语（上）,2006101004A33413,,2,,0,1-18周,0,"陈光,杨锡彭",1-18周 周五 第3节-第4节 ,2.0,文学院,否,,周五,2006-2007-1,,2006101004A33413,,0,浦口校区,2006-2007学年 第1学期,33413,无,,否,,,,,,0,现代汉语（上）,,第3节-第4节,,01004A
48.0,400010,中国古代史,2006101005A27132,,2,,0,"1-18周,1-18周",0,"金程宇,杨晓春,胡阿祥","1-18周 周一 第5节-第7节 ,1-18周 周二 第5节-第7节 ",3.0,文学院,否,,"周一,周二",2006-2007-1,,2006101005A27132,,0,浦口校区,2006-2007学年 第1学期,27132,"无,无",,否,,,,,,0,中国古代文学（一）,,"第5节-第7节,第5节-第7节",,01005A
48.0,400010,中国古代文学（一）,2006101005A28203,,2,,0,1-18周,0,"徐雁平,金程宇",1-18周 周二 第5节-第7节 ,3.0,文学院,否,,周二,2006-2007-1,,2006101005A28203,,0,浦口校区,2006-2007学年 第1学期,28203,无,,否,,,,,,0,中国古代文学（一）,,第5节-第7节,,01005A
48.0,400010,中国古代文学（三）,2006101005C31700,,2,,0,1-18周,0,"卞东波,俞士玲",1-18周 周四 第5节-第7节 ,3.0,文学院,否,,周四,2006-2007-1,,2006101005C31700,,0,浦口校区,2006-2007学年 第1学期,31700,无,,否,,,,,,0,中国古代文学（三）,,第5节-第7节,,01005C
64.0,400010,中国古代文学史,2006101005E32225,,2,,0,1-18周,0,徐兴无,1-18周 周四 第5节-第7节 ,4.0,文学院,否,,周四,2006-2007-1,,2006101005E32225,,0,浦口校区,2006-2007学年 第1学期,32225,无,,否,,,,,,0,中国古代文学史（上）,,第5节-第7节,,01005E
64.0,400010,中国当代文学,2006101006B27128,,2,,0,"1-18周,1-18周,1-18周,1-18周,1-18周,1-18周,1-18周",0,"傅元峰,王爱松","1-18周 周一 第1节-第2节 ,1-18周 周一 第5节-第6节 ,1-18周 周一 第5节-第6节 ,1-18周 周四 第3节-第4节 ,1-18周 周四 第3节-第4节 ,1-18周 周三 第1节-第2节 ,1-18周 周三 第1节-第2节 ",4.0,文学院,否,,"周一,周一,周一,周三,周三,周四,周四",2006-2007-1,,2006101006B27128,,0,浦口校区,2006-2007学年 第1学期,27128,"无,无,无,无,无,无,无",,否,,,,,,0,中国现当代文学（下）,,"第1节-第2节,第5节-第6节,第5节-第6节,第1节-第2节,第1节-第2节,第3节-第4节,第3节-第4节",,01006B
64.0,400010,外国文学（上）,2006101007A28197,,2,,0,"1-18周,1-18周,1-18周,1-18周,1-18周,1-18周,1-18周,1-18周",0,"余斌,唐建清,叶潇","1-18周 周四 第1节-第2节 ,1-18周 周四 第3节-第4节 ,1-18周 周四 第3节-第4节 ,1-18周 周四 第3节-第4节 ,1-18周 周四 第3节-第4节 ,1-18周 周二 第3节-第4节 ,1-18周 周二 第3节-第4节 ,1-18周 周四 第1节-第2节 ",4.0,文学院,否,,"周二,周二,周四,周四,周四,周四,周四,周四",2006-2007-1,,2006101007A28197,,0,浦口校区,2006-2007学年 第1学期,28197,"无,无,无,无,无,无,无,无",,否,,,,,,0,外国文学（上）,,"第3节-第4节,第3节-第4节,第3节-第4节,第3节-第4节,第3节-第4节,第3节-第4节,第1节-第2节,第1节-第2节",,01007A
64.0,400010,外国文学（上）,2006101007A28747,,2,,0,1-18周,0,"余斌,叶潇",1-18周 周二 第1节-第2节 ,4.0,文学院,否,,周二,2006-2007-1,,2006101007A28747,,0,浦口校区,2006-2007学年 第1学期,28747,无,,否,,,,,,0,外国文学（上）,,第1节-第2节,,01007A
32.0,400010,西方文论,200610100829976,,2,,0,1-18周,0,汪正龙,1-18周 周三 第1节-第2节 ,2.0,文学院,否,,周三,2006-2007-1,,200610100829976,,0,浦口校区,2006-2007学年 第1学期,29976,无,,否,,,,,,0,西方文论,,第1节-第2节,,01008
32.0,400010,现代汉语语法研究,200610101233409,,2,,0,1-18周,0,杨锡彭,1-18周 周五 第5节-第6节 ,2.0,文学院,否,,周五,2006-2007-1,,200610101233409,,0,浦口校区,2006-2007学年 第1学期,33409,无,,否,,,,,,0,现代汉语语法研究,,第5节-第6节,,01012
32.0,400010,工具书使用法,200610101329972,,2,,0,1-18周,0,高小方,1-18周 周三 第5节-第6节 ,2.0,文学院,否,,周三,2006-2007-1,,200610101329972,,0,浦口校区,2006-2007学年 第1学期,29972,无,,否,,,,,,0,工具书使用法,,第5节-第6节,,01013
32.0,400010,中国古代文献学,200610101428196,,1,,0,1-18周,0,,1-18周 周二 第3节-第4节 ,2.0,文学院,否,,周二,2006-2007-1,,200610101428196,,0,鼓楼校区,2006-2007学年 第1学期,28196,无,,否,,,,,,0,中国古代文献学,,第3节-第4节,,01014
32.0,400010,《诗经》研究,200610101531704,,2,,0,1-18周,0,孙立尧,1-18周 周四 第3节-第4节 ,2.0,文学院,否,,周四,2006-2007-1,,200610101531704,,0,浦口校区,2006-2007学年 第1学期,31704,无,,否,,,,,,0,《诗经》研究,,第3节-第4节,,01015
32.0,400010,《红楼梦》研究,200610101828198,,2,,0,1-18周,0,苗怀明,1-18周 周二 第5节-第6节 ,2.0,文学院,否,,周二,2006-2007-1,,200610101828198,,0,浦口校区,2006-2007学年 第1学期,28198,无,,否,,,,,,0,《红楼梦》研究,,第5节-第6节,,01018
32.0,400010,鲁迅研究,200610101927684,,2,,0,1-18周,0,王彬彬,1-18周 周一 第3节-第4节 ,2.0,文学院,否,,周一,2006-2007-1,,200610101927684,,0,浦口校区,2006-2007学年 第1学期,27684,无,,否,,,,,,0,鲁迅研究,,第3节-第4节,,01019
