XS,PKDWDM,JXBMC,WID,TXKCLB_DISPLAY,XXXQDM,XGXKLBDM_DISPLAY,XKZRS,SKZC,PKZTDM,SKJS,YPSJDD,XF,PKDWDM_DISPLAY,SFXGXK_DISPLAY,KCFL1_DISPLAY,SKXQ,XNXQDM,TKJG,JXBID,SKBJ,SFTK,XXXQDM_DISPLAY,XNXQDM_DISPLAY,KXH,SKJAS,SYXS,SFTK_DISPLAY,XGXKLBDM,KCFL1,KTJSXS,TXKCLB,KCSJXS,SFXGXK,KCM,JXLDM,SKJC,JXLDM_DISPLAY,KCH
48.0,400290,马克思主义基本原理概论(20202-00000010-5),2020200000010-98191,思政课,3,,0,,0,,,3.0,马克思主义学院,否,,,2020-2021-2,,2020200000010-98191,,0,仙林校区,2020-2021学年 第2学期,-98191,,,否,,,32,00,16,0,马克思主义基本原理概论,,,,00000010
48.0,400290,马克思主义基本原理概论(20202-00000010-6),2020200000010-98193,思政课,3,,0,,0,,,3.0,马克思主义学院,否,,,2020-2021-2,,2020200000010-98193,,0,仙林校区,2020-2021学年 第2学期,-98193,,,否,,,32,00,16,0,马克思主义基本原理概论,,,,00000010
48.0,400290,马克思主义基本原理概论(20202-00000010-8),2020200000010-98375,思政课,3,,0,,0,,,3.0,马克思主义学院,否,,,2020-2021-2,,2020200000010-98375,,0,仙林校区,2020-2021学年 第2学期,-98375,,,否,,,32,00,16,0,马克思主义基本原理概论,,,,00000010
48.0,400290,马克思主义基本原理概论(20202-00000010-9),2020200000010-98377,思政课,3,,0,,0,,,3.0,马克思主义学院,否,,,2020-2021-2,,2020200000010-98377,,0,仙林校区,2020-2021学年 第2学期,-98377,,,否,,,32,00,16,0,马克思主义基本原理概论,,,,00000010
48.0,400290,马克思主义基本原理概论(20202-00000010-10),2020200000010-98380,思政课,3,,0,,0,,,3.0,马克思主义学院,否,,,2020-2021-2,,2020200000010-98380,,0,仙林校区,2020-2021学年 第2学期,-98380,,,否,,,32,00,16,0,马克思主义基本原理概论,,,,00000010
48.0,400290,马克思主义基本原理概论(20202-00000010-12),2020200000010-98511,思政课,3,,0,,0,,,3.0,马克思主义学院,否,,,2020-2021-2,,2020200000010-98511,,0,仙林校区,2020-2021学年 第2学期,-98511,,,否,,,32,00,16,0,马克思主义基本原理概论,,,,00000010
48.0,400290,马克思主义基本原理概论(20202-00000010-15),2020200000010-98514,思政课,3,,0,,0,,,3.0,马克思主义学院,否,,,2020-2021-2,,2020200000010-98514,,0,仙林校区,2020-2021学年 第2学期,-98514,,,否,,,32,00,16,0,马克思主义基本原理概论,,,,00000010
48.0,400290,马克思主义基本原理概论(20202-00000010-3),20202000000101098187,思政课,3,,0,,0,,,3.0,马克思主义学院,否,,,2020-2021-2,,20202000000101098187,,0,仙林校区,2020-2021学年 第2学期,1098187,,,否,,,32,00,16,0,马克思主义基本原理概论,,,,00000010
48.0,400290,马克思主义基本原理概论(20202-00000010-5),20202000000101098191,思政课,3,,0,,0,,,3.0,马克思主义学院,否,,,2020-2021-2,,20202000000101098191,,0,仙林校区,2020-2021学年 第2学期,1098191,,,否,,,32,00,16,0,马克思主义基本原理概论,,,,00000010
48.0,400290,马克思主义基本原理概论(20202-00000010-6),20202000000101098193,思政课,3,,0,,0,,,3.0,马克思主义学院,否,,,2020-2021-2,,20202000000101098193,,0,仙林校区,2020-2021学年 第2学期,1098193,,,否,,,32,00,16,0,马克思主义基本原理概论,,,,00000010
48.0,400290,马克思主义基本原理概论(20202-00000010-13),20202000000101098512,思政课,3,,0,,0,,,3.0,马克思主义学院,否,,,2020-2021-2,,20202000000101098512,,0,仙林校区,2020-2021学年 第2学期,1098512,,,否,,,32,00,16,0,马克思主义基本原理概论,,,,00000010
48.0,400290,马克思主义基本原理概论(20202-00000010-14),20202000000101098513,思政课,3,,0,,0,,,3.0,马克思主义学院,否,,,2020-2021-2,,20202000000101098513,,0,仙林校区,2020-2021学年 第2学期,1098513,,,否,,,32,00,16,0,马克思主义基本原理概论,,,,00000010
48.0,400290,马克思主义基本原理概论(20202-00000010-1),202020000001098174,思政课,3,,134,1-16周,0,王锁明,1-16周 周三 第9节-第11节 仙Ⅱ-403,3.0,马克思主义学院,否,,周三,2020-2021-2,,202020000001098174,2020*理科试验班（地球科学与资源环境类）*地球科学与资源环境类,0,仙林校区,2020-2021学年 第2学期,98174,仙Ⅱ-403,,否,,,32,00,16,0,马克思主义基本原理概论,12,第9节-第11节,仙II区,00000010
48.0,400290,马克思主义基本原理概论(20202-00000010-2),202020000001098177,思政课,3,,137,1-16周,0,王锁明,1-16周 周二 第9节-第11节 仙Ⅱ-403,3.0,马克思主义学院,否,,周二,2020-2021-2,,202020000001098177,2020*理科试验班（地球科学与资源环境类）*地球科学与资源环境类,0,仙林校区,2020-2021学年 第2学期,98177,仙Ⅱ-403,,否,,,32,00,16,0,马克思主义基本原理概论,12,第9节-第11节,仙II区,00000010
48.0,400290,马克思主义基本原理概论(20202-00000010-3),202020000001098187,思政课,3,,13,1-16周,0,周春梅,1-16周 周一 第5节-第7节 仙Ⅱ-217,3.0,马克思主义学院,否,,周一,2020-2021-2,,202020000001098187,2020*理科试验班（化学与生命科学类）*化学与生命科学类,0,仙林校区,2020-2021学年 第2学期,98187,仙Ⅱ-217,,否,,,32,00,16,0,马克思主义基本原理概论,12,第5节-第7节,仙II区,00000010
48.0,400290,马克思主义基本原理概论(20202-00000010-4),202020000001098190,思政课,3,,117,1-16周,0,周春梅,1-16周 周一 第9节-第11节 仙Ⅱ-403,3.0,马克思主义学院,否,,周一,2020-2021-2,,202020000001098190,2020*理科试验班（化学与生命科学类）*化学与生命科学类,0,仙林校区,2020-2021学年 第2学期,98190,仙Ⅱ-403,,否,,,32,00,16,0,马克思主义基本原理概论,12,第9节-第11节,仙II区,00000010
48.0,400290,马克思主义基本原理概论(20202-00000010-5),202020000001098191,思政课,3,,108,"1-16周,1-15周(单)",0,郭云峰,"1-16周 周二 第5节-第6节 逸B-205,1-15周(单) 周四 第5节-第6节 逸B-205",3.0,马克思主义学院,否,,"周二,周四",2020-2021-2,,202020000001098191,2020软件学院软件工程,0,仙林校区,2020-2021学年 第2学期,98191,"逸B-205,逸B-205",,否,,,32,00,16,0,马克思主义基本原理概论,16,"第5节-第6节,第5节-第6节",逸夫楼B区,00000010
48.0,400290,马克思主义基本原理概论(20202-00000010-6),202020000001098193,思政课,3,,108,"1-16周,2-16周(双)",0,郭云峰,"1-16周 周二 第3节-第4节 逸B-205,2-16周(双) 周四 第5节-第6节 逸B-205",3.0,马克思主义学院,否,,"周二,周四",2020-2021-2,,202020000001098193,2020软件学院软件工程,0,仙林校区,2020-2021学年 第2学期,98193,"逸B-205,逸B-205",,否,,,32,00,16,0,马克思主义基本原理概论,16,"第3节-第4节,第5节-第6节",逸夫楼B区,00000010
48.0,400290,马克思主义基本原理概论(20202-00000010-7),202020000001098371,思政课,3,,90,1-16周,0,陈建,1-16周 周一 第9节-第11节 逸B-405,3.0,马克思主义学院,否,,周一,2020-2021-2,,202020000001098371,"2020计算机学院计算机（计算机与金融工程方向）,2020计算机学院计算机科学与技术,2020计算机学院信息与计算科学（强基计划）",0,仙林校区,2020-2021学年 第2学期,98371,逸B-405,,否,,,32,00,16,0,马克思主义基本原理概论,16,第9节-第11节,逸夫楼B区,00000010
48.0,400290,马克思主义基本原理概论(20202-00000010-8),202020000001098375,思政课,3,,100,"1-16周,1-15周(单)",0,曹永红,"1-16周 周五 第7节-第8节 逸B-405,1-15周(单) 周四 第9节-第10节 逸B-405",3.0,马克思主义学院,否,,"周五,周四",2020-2021-2,,202020000001098375,"2020计算机学院计算机（计算机与金融工程方向）,2020计算机学院计算机科学与技术,2020计算机学院信息与计算科学（强基计划）",0,仙林校区,2020-2021学年 第2学期,98375,"逸B-405,逸B-405",,否,,,32,00,16,0,马克思主义基本原理概论,16,"第7节-第8节,第9节-第10节",逸夫楼B区,00000010
48.0,400290,马克思主义基本原理概论(20202-00000010-9),202020000001098377,思政课,3,,102,"1-16周,2-16周(双)",0,曹永红,"1-16周 周五 第9节-第10节 逸B-405,2-16周(双) 周四 第9节-第10节 逸B-405",3.0,马克思主义学院,否,,"周五,周四",2020-2021-2,,202020000001098377,"2020计算机学院计算机（计算机与金融工程方向）,2020计算机学院计算机科学与技术,2020计算机学院信息与计算科学（强基计划）",0,仙林校区,2020-2021学年 第2学期,98377,"逸B-405,逸B-405",,否,,,32,00,16,0,马克思主义基本原理概论,16,"第9节-第10节,第9节-第10节",逸夫楼B区,00000010
