XS,PKDWDM,JXBMC,WID,TXKCLB_DISPLAY,XXXQDM,XGXKLBDM_DISPLAY,XKZRS,SKZC,PKZTDM,SKJS,YPSJDD,XF,PKDWDM_DISPLAY,SFXGXK_DISPLAY,KCFL1_DISPLAY,SKXQ,XNXQDM,TKJG,JXBID,SKBJ,SFTK,XXXQDM_DISPLAY,XNXQDM_DISPLAY,KXH,SKJAS,SYXS,SFTK_DISPLAY,XGXKLBDM,KCFL1,KTJSXS,TXKCLB,KCSJXS,SFXGXK,KCM,JXLDM,SKJC,JXLDM_DISPLAY,KCH
48.0,400080,思想道德修养与法律基础(20091-000020-1),2009100002018946,,3,,138,1-18周,0,张伟,1-18周 周四 第5节-第6节 图书馆125,3.0,政府管理学院,否,,周四,2009-2010-1,,2009100002018946,2009计算机学院计算机科学类,0,仙林校区,2009-2010学年 第1学期,18946,无,,否,,,,,,0,思想道德修养与法律基础,,第5节-第6节,,000020
48.0,400080,思想道德修养与法律基础(20091-000020-2),2009100002019018,,3,,127,1-18周,0,暴庆刚,1-18周 周五 第3节-第4节 仙Ⅰ-320,3.0,政府管理学院,否,,周五,2009-2010-1,,2009100002019018,,0,仙林校区,2009-2010学年 第1学期,19018,仙Ⅰ-320,,否,,,,,,0,思想道德修养与法律基础,11,第3节-第4节,仙I区,000020
48.0,400080,思想道德修养与法律基础(20091-000020-3),2009100002019150,,3,,130,1-18周,0,吴翠丽,1-18周 周四 第5节-第6节 仙Ⅱ-403,3.0,政府管理学院,否,,周四,2009-2010-1,,2009100002019150,"2009生命科学学院生物科学（基地）,2009匡亚明学院理强（数理方向）,2009匡亚明学院理科强化班",0,仙林校区,2009-2010学年 第1学期,19150,仙Ⅱ-403,,否,,,,,,0,思想道德修养与法律基础,12,第5节-第6节,仙II区,000020
48.0,400080,思想道德修养与法律基础(20091-000020-4),2009100002019159,,3,,175,1-18周,0,李喜英,1-18周 周二 第1节-第2节 仙Ⅱ-122,3.0,政府管理学院,否,,周二,2009-2010-1,,2009100002019159,2009物理学院物理学类,0,仙林校区,2009-2010学年 第1学期,19159,仙Ⅱ-122,,否,,,,,,0,思想道德修养与法律基础,12,第1节-第2节,仙II区,000020
48.0,400080,思想道德修养与法律基础(20091-000020-5),2009100002019160,,3,,109,1-18周,0,吴翠丽,1-18周 周四 第7节-第8节 仙Ⅱ-403,3.0,政府管理学院,否,,周四,2009-2010-1,,2009100002019160,2009化学学院化学(基地),0,仙林校区,2009-2010学年 第1学期,19160,仙Ⅱ-403,,否,,,,,,0,思想道德修养与法律基础,12,第7节-第8节,仙II区,000020
48.0,400080,思想道德修养与法律基础(20091-000020-6),2009100002019162,,3,,147,1-18周,0,吴翠丽,1-18周 周四 第9节-第10节 图书馆126,3.0,政府管理学院,否,,周四,2009-2010-1,,2009100002019162,2009物理学院物理基地,0,仙林校区,2009-2010学年 第1学期,19162,图书馆126,,否,,,,,,0,思想道德修养与法律基础,18,第9节-第10节,图书馆,000020
48.0,400080,思想道德修养与法律基础(20091-000020-7),2009100002019176,,3,,66,1-18周,0,李喜英,1-18周 周二 第5节-第6节 仙Ⅰ-203,3.0,政府管理学院,否,,周二,2009-2010-1,,2009100002019176,2009生命科学学院生物科学类,0,仙林校区,2009-2010学年 第1学期,19176,仙Ⅰ-203,,否,,,,,,0,思想道德修养与法律基础,11,第5节-第6节,仙I区,000020
48.0,400080,思想道德修养与法律基础(20091-000020-8),2009100002019177,,3,,96,1-18周,0,李喜英,1-18周 周二 第7节-第8节 逸B-207,3.0,政府管理学院,否,,周二,2009-2010-1,,2009100002019177,,0,仙林校区,2009-2010学年 第1学期,19177,逸B-207,,否,,,,,,0,思想道德修养与法律基础,16,第7节-第8节,逸夫楼B区,000020
48.0,400080,思想道德修养与法律基础(20091-000020-9),2009100002019178,,3,,72,1-18周,0,张伟,1-18周 周四 第1节-第2节 仙Ⅰ-102,3.0,政府管理学院,否,,周四,2009-2010-1,,2009100002019178,,0,仙林校区,2009-2010学年 第1学期,19178,仙Ⅰ-102,,否,,,,,,0,思想道德修养与法律基础,11,第1节-第2节,仙I区,000020
48.0,400080,思想道德修养与法律基础(20091-000020-10),2009100002019179,,3,,128,1-18周,0,张伟,1-18周 周四 第9节-第10节 仙Ⅱ-403,3.0,政府管理学院,否,,周四,2009-2010-1,,2009100002019179,2009数学学院数学类,0,仙林校区,2009-2010学年 第1学期,19179,仙Ⅱ-403,,否,,,,,,0,思想道德修养与法律基础,12,第9节-第10节,仙II区,000020
48.0,400080,思想道德修养与法律基础(20091-000020-11),2009100002019180,,3,,130,1-18周,0,暴庆刚,1-18周 周五 第9节-第10节 仙Ⅰ-524,3.0,政府管理学院,否,,周五,2009-2010-1,,2009100002019180,,0,仙林校区,2009-2010学年 第1学期,19180,仙Ⅰ-524,,否,,,,,,0,思想道德修养与法律基础,11,第9节-第10节,仙I区,000020
48.0,400080,思想道德修养与法律基础(20091-000020-12),2009100002019181,,3,,97,1-18周,0,暴庆刚,1-18周 周五 第5节-第6节 仙Ⅱ-505,3.0,政府管理学院,否,,周五,2009-2010-1,,2009100002019181,,0,仙林校区,2009-2010学年 第1学期,19181,仙Ⅱ-505,,否,,,,,,0,思想道德修养与法律基础,12,第5节-第6节,仙II区,000020
48.0,400080,思想道德修养与法律基础(20091-000020-13),2009100002019182,,3,,115,1-18周,0,戴雪红,1-18周 周一 第1节-第2节 仙Ⅱ-504,3.0,政府管理学院,否,,周一,2009-2010-1,,2009100002019182,,0,仙林校区,2009-2010学年 第1学期,19182,仙Ⅱ-504,,否,,,,,,0,思想道德修养与法律基础,12,第1节-第2节,仙II区,000020
48.0,400080,思想道德修养与法律基础(20091-000020-14),2009100002019183,,3,,121,1-18周,0,戴雪红,1-18周 周一 第7节-第8节 逸B-101,3.0,政府管理学院,否,,周一,2009-2010-1,,2009100002019183,,0,仙林校区,2009-2010学年 第1学期,19183,逸B-101,,否,,,,,,0,思想道德修养与法律基础,16,第7节-第8节,逸夫楼B区,000020
48.0,400080,思想道德修养与法律基础(20091-000020-15),2009100002019184,,3,,135,1-18周,0,戴雪红,1-18周 周一 第5节-第6节 逸B-101,3.0,政府管理学院,否,,周一,2009-2010-1,,2009100002019184,,0,仙林校区,2009-2010学年 第1学期,19184,逸B-101,,否,,,,,,0,思想道德修养与法律基础,16,第5节-第6节,逸夫楼B区,000020
48.0,400080,思想道德修养与法律基础(20091-000020-16),2009100002019185,,3,,134,1-18周,0,陈琳,1-18周 周四 第1节-第2节 仙Ⅱ-504,3.0,政府管理学院,否,,周四,2009-2010-1,,2009100002019185,2009软件学院软件学类,0,仙林校区,2009-2010学年 第1学期,19185,仙Ⅱ-504,,否,,,,,,0,思想道德修养与法律基础,12,第1节-第2节,仙II区,000020
48.0,400080,思想道德修养与法律基础(20091-000020-17),2009100002019186,,3,,126,1-18周,0,陈琳,1-18周 周四 第3节-第4节 仙Ⅱ-504,3.0,政府管理学院,否,,周四,2009-2010-1,,2009100002019186,2009软件学院软件学类,0,仙林校区,2009-2010学年 第1学期,19186,仙Ⅱ-504,,否,,,,,,0,思想道德修养与法律基础,12,第3节-第4节,仙II区,000020
