XS,PKDWDM,JXBMC,WID,TXKCLB_DISPLAY,XXXQDM,XGXKLBDM_DISPLAY,XKZRS,SKZC,PKZTDM,SKJS,YPSJDD,XF,PKDWDM_DISPLAY,SFXGXK_DISPLAY,KCFL1_DISPLAY,SKXQ,XNXQDM,TKJG,JXBID,SKBJ,SFTK,XXXQDM_DISPLAY,XNXQDM_DISPLAY,KXH,SKJAS,SYXS,SFTK_DISPLAY,XGXKLBDM,KCFL1,KTJSXS,TXKCLB,KCSJXS,SFXGXK,KCM,JXLDM,SKJC,JXLDM_DISPLAY,KCH
48.0,400290,马克思主义基本原理概论(20182-00000010-1),201820000001085810,思政课,3,,84,1-16周,0,王培暄,1-16周 周三 第5节-第7节 仙Ⅰ-103,3.0,马克思主义学院,否,,周三,2018-2019-2,,201820000001085810,,0,仙林校区,2018-2019学年 第2学期,85810,仙Ⅰ-103,,否,,,32,00,16,0,马克思主义基本原理概论,11,第5节-第7节,仙I区,00000010
48.0,400290,马克思主义基本原理概论(20182-00000010-2),201820000001085821,思政课,3,,90,"1-16周,2-16周(双)",0,王锁明,"1-16周 周三 第5节-第6节 仙Ⅰ-104,2-16周(双) 周三 第7节-第8节 仙Ⅰ-320",3.0,马克思主义学院,否,,"周三,周三",2018-2019-2,,201820000001085821,2018匡亚明学院理科强化班,0,仙林校区,2018-2019学年 第2学期,85821,"仙Ⅰ-104,仙Ⅰ-320",,否,,,32,00,16,0,马克思主义基本原理概论,11,"第5节-第6节,第7节-第8节",仙I区,00000010
48.0,400290,马克思主义基本原理概论(20182-00000010-3),201820000001085839,思政课,3,,80,1-16周,0,曹永红,1-16周 周三 第5节-第7节 仙Ⅰ-102,3.0,马克思主义学院,否,,周三,2018-2019-2,,201820000001085839,,0,仙林校区,2018-2019学年 第2学期,85839,仙Ⅰ-102,,否,,,32,00,16,0,马克思主义基本原理概论,11,第5节-第7节,仙I区,00000010
48.0,400290,马克思主义基本原理概论(20182-00000010-4),201820000001085842,思政课,3,,97,"1-16周,1-15周(单)",0,陈建,"1-16周 周一 第3节-第4节 逸B-405,1-15周(单) 周一 第9节-第10节 图书馆126",3.0,马克思主义学院,否,,"周一,周一",2018-2019-2,,201820000001085842,"2018计算机学院计算机科学与技术,2018计算机学院计算机（计算机与金融工程方向）",0,仙林校区,2018-2019学年 第2学期,85842,"逸B-405,图书馆126",,否,,,32,00,16,0,马克思主义基本原理概论,"16,18","第3节-第4节,第9节-第10节","逸夫楼B区, 图书馆",00000010
48.0,400290,马克思主义基本原理概论(20182-00000010-5),201820000001085850,思政课,3,,89,"1-16周,1-15周(单)",0,周春梅,"1-16周 周四 第5节-第6节 仙Ⅰ-101,1-15周(单) 周四 第7节-第8节 仙Ⅰ-101",3.0,马克思主义学院,否,,"周四,周四",2018-2019-2,,201820000001085850,2018计算机学院计算机科学与技术,0,仙林校区,2018-2019学年 第2学期,85850,"仙Ⅰ-101,仙Ⅰ-101",,否,,,32,00,16,0,马克思主义基本原理概论,11,"第5节-第6节,第7节-第8节",仙I区,00000010
48.0,400290,马克思主义基本原理概论(20182-00000010-6),201820000001085856,思政课,3,,120,"1-15周(单),1-16周",0,郭云峰,"1-15周(单) 周五 第3节-第4节 仙Ⅱ-405,1-16周 周四 第7节-第8节 仙Ⅱ-405",3.0,马克思主义学院,否,,"周五,周四",2018-2019-2,,201820000001085856,2018*理科试验班（化学与生命科学类）*化学与生命科学类,0,仙林校区,2018-2019学年 第2学期,85856,"仙Ⅱ-405,仙Ⅱ-405",,否,,,32,00,16,0,马克思主义基本原理概论,12,"第3节-第4节,第7节-第8节",仙II区,00000010
48.0,400290,马克思主义基本原理概论(20182-00000010-7),201820000001085860,思政课,3,,96,1-16周,0,郭云峰,1-16周 周五 第5节-第7节 仙Ⅱ-405,3.0,马克思主义学院,否,,周五,2018-2019-2,,201820000001085860,2018*理科试验班（化学与生命科学类）*化学与生命科学类,0,仙林校区,2018-2019学年 第2学期,85860,仙Ⅱ-405,,否,,,32,00,16,0,马克思主义基本原理概论,12,第5节-第7节,仙II区,00000010
48.0,400290,马克思主义基本原理概论(20182-00000010-8),201820000001085862,思政课,3,,101,"1-16周,2-16周(双)",0,温权,"1-16周 周三 第5节-第6节 逸B-207,2-16周(双) 周三 第7节-第8节 逸B-207",3.0,马克思主义学院,否,,"周三,周三",2018-2019-2,,201820000001085862,,0,仙林校区,2018-2019学年 第2学期,85862,"逸B-207,逸B-207",,否,,,32,00,16,0,马克思主义基本原理概论,16,"第5节-第6节,第7节-第8节",逸夫楼B区,00000010
48.0,400290,马克思主义基本原理概论(20182-00000010-9),201820000001085867,思政课,3,,90,"1-16周,1-16周",0,李乾坤,"1-16周 周二 第3节-第4节 仙Ⅰ-102,1-16周 自由时间 - 自由地点",3.0,马克思主义学院,否,,"周二,自由时间",2018-2019-2,,201820000001085867,"2017工程管理学院自动化,2017工程管理学院金融工程,2017工程管理学院工业工程",0,仙林校区,2018-2019学年 第2学期,85867,"仙Ⅰ-102,自由地点",,否,,,32,00,16,0,马克思主义基本原理概论,"11,388","第3节-第4节,自由时间","仙I区, 虚拟区域（仙林）",00000010
48.0,400290,马克思主义基本原理概论(20182-00000010-10),201820000001085887,思政课,3,,116,"1-16周,1-15周(单)",0,孔智键,"1-16周 周二 第7节-第8节 逸B-101,1-15周(单) 周四 第9节-第10节 逸B-101",3.0,马克思主义学院,否,,"周二,周四",2018-2019-2,,201820000001085887,"2018大气科学学院理科试验班（地球系统科学与环境）,2018匡亚明学院理科强化班",0,仙林校区,2018-2019学年 第2学期,85887,"逸B-101,逸B-101",,否,,,32,00,16,0,马克思主义基本原理概论,16,"第7节-第8节,第9节-第10节",逸夫楼B区,00000010
