XS,PKDWDM,JXBMC,WID,TXKCLB_DISPLAY,XXXQDM,XGXKLBDM_DISPLAY,XKZRS,SKZC,PKZTDM,SKJS,YPSJDD,XF,PKDWDM_DISPLAY,SFXGXK_DISPLAY,KCFL1_DISPLAY,SKXQ,XNXQDM,TKJG,JXBID,SKBJ,SFTK,XXXQDM_DISPLAY,XNXQDM_DISPLAY,KXH,SKJAS,SYXS,SFTK_DISPLAY,XGXKLBDM,KCFL1,KTJSXS,TXKCLB,KCSJXS,SFXGXK,KCM,JXLDM,SKJC,JXLDM_DISPLAY,KCH
,200090,戏剧影视研究,20082 0501B080016818,,1,,0,1-17周,0,,1-17周 周三 第2节-第4节 馆1-201,,研究生院,否,,周三,2008-2009-2,,20082 0501B080016818,,0,鼓楼校区,2008-2009学年 第2学期,16818,馆1-201,,否,,,,,,0,,8,第2节-第4节,逸夫馆, 0501B0800
32.0,400010,文学概论（下）(20082-01001B-1),2008201001B15373,,2,,37,1-17周,0,周计武,1-17周 周五 第3节-第4节 浦3-407,2.0,文学院,否,,周五,2008-2009-2,,2008201001B15373,2006文学院汉语言文学,0,浦口校区,2008-2009学年 第2学期,15373,浦3-407,,否,,,,,,0,文学概论（下）,23,第3节-第4节,浦III区,01001B
32.0,400010,文学概论（下）(20082-01001B-2),2008201001B15375,,2,,38,1-17周,0,汪正龙,1-17周 周五 第3节-第4节 浦3-409,2.0,文学院,否,,周五,2008-2009-2,,2008201001B15375,2006文学院汉语言文学,0,浦口校区,2008-2009学年 第2学期,15375,浦3-409,,否,,,,,,0,文学概论（下）,23,第3节-第4节,浦III区,01001B
48.0,400010,古代汉语（上）(20082-01003A-1),2008201003A16024,,2,,108,"1-17周,1-17周",0,高小方,"1-17周 周一 第3节-第4节 浦3-222,1-17周 周三 第3节-第4节 浦3-222",3.0,文学院,否,,"周一,周三",2008-2009-2,,2008201003A16024,,0,浦口校区,2008-2009学年 第2学期,16024,"浦3-222,浦3-222",,否,,,,,,0,古代汉语（上）,23,"第3节-第4节,第3节-第4节",浦III区,01003A
48.0,400010,古代汉语（上）(20082-01003A-2),2008201003A16027,,2,,111,"1-17周,1-17周",0,陈文杰,"1-17周 周一 第3节-第4节 浦3-120,1-17周 周三 第5节-第6节 浦3-120",3.0,文学院,否,,"周一,周三",2008-2009-2,,2008201003A16027,,0,浦口校区,2008-2009学年 第2学期,16027,"浦3-120,浦3-120",,否,,,,,,0,古代汉语（上）,23,"第3节-第4节,第5节-第6节",浦III区,01003A
48.0,400010,古代汉语（下）(20082-01003B-1),2008201003B15484,,1,,22,1-17周,0,魏宜辉,1-17周 周五 第3节-第4节 馆2-103,3.0,文学院,否,,周五,2008-2009-2,,2008201003B15484,2008文学院汉语言文学(作家班),0,鼓楼校区,2008-2009学年 第2学期,15484,馆2-103,,否,,,,,,0,古代汉语（下）,8,第3节-第4节,逸夫馆,01003B
32.0,400010,现代汉语（上）(20082-01004A-1),2008201004A15379,,2,,36,1-17周,0,陈光,1-17周 周一 第3节-第4节 浦3-311,2.0,文学院,否,,周一,2008-2009-2,,2008201004A15379,2006文学院汉语言文学,0,浦口校区,2008-2009学年 第2学期,15379,浦3-311,,否,,,,,,0,现代汉语（上）,23,第3节-第4节,浦III区,01004A
32.0,400010,现代汉语（上）(20082-01004A-2),2008201004A15380,,2,,38,1-17周,0,陈立中,1-17周 周一 第3节-第4节 浦3-314,2.0,文学院,否,,周一,2008-2009-2,,2008201004A15380,2006文学院汉语言文学,0,浦口校区,2008-2009学年 第2学期,15380,浦3-314,,否,,,,,,0,现代汉语（上）,23,第3节-第4节,浦III区,01004A
48.0,400010,中国古代文学（二）(20082-01005B-2),2008201005B16020,,2,,53,1-17周,0,俞士玲,1-17周 周三 第5节-第7节 浦3-315,3.0,文学院,否,,周三,2008-2009-2,,2008201005B16020,,0,浦口校区,2008-2009学年 第2学期,16020,浦3-315,,否,,,,,,0,中国古代文学（二）,23,第5节-第7节,浦III区,01005B
48.0,400010,中国古代文学（二）(20082-01005B-3),2008201005B16022,,2,,56,1-17周,0,巩本栋,1-17周 周三 第5节-第7节 浦3-302,3.0,文学院,否,,周三,2008-2009-2,,2008201005B16022,,0,浦口校区,2008-2009学年 第2学期,16022,浦3-302,,否,,,,,,0,中国古代文学（二）,23,第5节-第7节,浦III区,01005B
48.0,400010,中国古代文学（四）(20082-01005D-1),2008201005D16015,,2,,52,1-17周,0,冯乾,1-17周 周一 第5节-第7节 浦3-413,3.0,文学院,否,,周一,2008-2009-2,,2008201005D16015,,0,浦口校区,2008-2009学年 第2学期,16015,浦3-413,,否,,,,,,0,中国古代文学（四）,23,第5节-第7节,浦III区,01005D
48.0,400010,中国古代文学（四）(20082-01005D-2),2008201005D16017,,2,,50,1-17周,0,冯乾,1-17周 周一 第5节-第7节 浦3-416,3.0,文学院,否,,周一,2008-2009-2,,2008201005D16017,,0,浦口校区,2008-2009学年 第2学期,16017,浦3-416,,否,,,,,,0,中国古代文学（四）,23,第5节-第7节,浦III区,01005D
48.0,400010,中国古代文学（四）(20082-01005D-3),2008201005D18528,,2,,0,1-17周,0,苗怀明,1-17周 周一 第5节-第7节 浦1-503,3.0,文学院,否,,周一,2008-2009-2,,2008201005D18528,,0,浦口校区,2008-2009学年 第2学期,18528,浦1-503,,否,,,,,,0,中国古代文学（四）,21,第5节-第7节,浦I区,01005D
64.0,400010,中国古代文学史（下）(20082-01005F-1),2008201005F15481,,1,,22,"1-17周,1-17周",0,闵丰,"1-17周 周四 第1节-第2节 馆2-105,1-17周 周二 第3节-第4节 馆2-105",4.0,文学院,否,,"周二,周四",2008-2009-2,,2008201005F15481,2008文学院汉语言文学(作家班),0,鼓楼校区,2008-2009学年 第2学期,15481,"馆2-105,馆2-105",,否,,,,,,0,中国古代文学史（下）,8,"第3节-第4节,第1节-第2节",逸夫馆,01005F
64.0,400010,中国现当代文学（上）(20082-01006A-1),2008201006A15478,,1,,22,"1-17周,1-17周",0,张光芒,"1-17周 周一 第3节-第4节 馆1-102,1-17周 周三 第5节-第6节 馆1-102",4.0,文学院,否,,"周一,周三",2008-2009-2,,2008201006A15478,2008文学院汉语言文学(作家班),0,鼓楼校区,2008-2009学年 第2学期,15478,"馆1-102,馆1-102",,否,,,,,,0,中国现当代文学（上）,8,"第3节-第4节,第5节-第6节",逸夫馆,01006A
64.0,400010,中国现当代文学（上）(20082-01006A-3),2008201006A16009,,2,,54,"1-17周,1-17周",0,潘志强,"1-17周 周二 第5节-第6节 浦3-406,1-17周 周四 第5节-第6节 浦3-406",4.0,文学院,否,,"周二,周四",2008-2009-2,,2008201006A16009,,0,浦口校区,2008-2009学年 第2学期,16009,"浦3-406,浦3-406",,否,,,,,,0,中国现当代文学（上）,23,"第5节-第6节,第5节-第6节",浦III区,01006A
64.0,400010,中国现当代文学（上）(20082-01006A-4),2008201006A16012,,2,,50,"1-17周,1-17周",0,翟业军,"1-17周 周二 第5节-第6节 浦3-408,1-17周 周四 第5节-第6节 浦3-408",4.0,文学院,否,,"周二,周四",2008-2009-2,,2008201006A16012,,0,浦口校区,2008-2009学年 第2学期,16012,"浦3-408,浦3-408",,否,,,,,,0,中国现当代文学（上）,23,"第5节-第6节,第5节-第6节",浦III区,01006A
64.0,400010,外国文学（上）(20082-01007A-1),2008201007A15345,,2,,44,"1-17周,1-17周",0,肖锦龙,"1-17周 周二 第3节-第4节 浦3-314,1-17周 周四 第3节-第4节 浦3-314",4.0,文学院,否,,"周二,周四",2008-2009-2,,2008201007A15345,"2006文学院汉语言文学,2006文学院戏剧影视文学",0,浦口校区,2008-2009学年 第2学期,15345,"浦3-314,浦3-314",,否,,,,,,0,外国文学（上）,23,"第3节-第4节,第3节-第4节",浦III区,01007A
64.0,400010,外国文学（上）(20082-01007A-2),2008201007A15386,,2,,42,"1-17周,1-17周",0,余斌,"1-17周 周二 第3节-第4节 浦3-311,1-17周 周四 第3节-第4节 浦3-311",4.0,文学院,否,,"周二,周四",2008-2009-2,,2008201007A15386,"2006文学院汉语言文学,2006文学院戏剧影视文学",0,浦口校区,2008-2009学年 第2学期,15386,"浦3-311,浦3-311",,否,,,,,,0,外国文学（上）,23,"第3节-第4节,第3节-第4节",浦III区,01007A
