XS,PKDWDM,JXBMC,WID,TXKCLB_DISPLAY,XXXQDM,XGXKLBDM_DISPLAY,XKZRS,SKZC,PKZTDM,SKJS,YPSJDD,XF,PKDWDM_DISPLAY,SFXGXK_DISPLAY,KCFL1_DISPLAY,SKXQ,XNXQDM,TKJG,JXBID,SKBJ,SFTK,XXXQDM_DISPLAY,XNXQDM_DISPLAY,KXH,SKJAS,SYXS,SFTK_DISPLAY,XGXKLBDM,KCFL1,KTJSXS,TXKCLB,KCSJXS,SFXGXK,KCM,JXLDM,SKJC,JXLDM_DISPLAY,KCH
64.0,400040,文学概论1,2007201001886,,2,,0,,0,,,4.0,新闻传播学院,否,,,2007-2008-2,,2007201001886,,0,浦口校区,2007-2008学年 第2学期,886,,,否,,,,,,0,文学概论,,,,01001
64.0,400040,文学概论2,2007201001887,,2,,0,,0,,,4.0,新闻传播学院,否,,,2007-2008-2,,2007201001887,,0,浦口校区,2007-2008学年 第2学期,887,,,否,,,,,,0,文学概论,,,,01001
64.0,400040,文学概论3,2007201001888,,2,,0,,0,,,4.0,新闻传播学院,否,,,2007-2008-2,,2007201001888,,0,浦口校区,2007-2008学年 第2学期,888,,,否,,,,,,0,文学概论,,,,01001
64.0,400040,文学概论4,2007201001889,,2,,0,,0,,,4.0,新闻传播学院,否,,,2007-2008-2,,2007201001889,,0,浦口校区,2007-2008学年 第2学期,889,,,否,,,,,,0,文学概论,,,,01001
64.0,400040,文学概论5,2007201001890,,2,,0,,0,,,4.0,新闻传播学院,否,,,2007-2008-2,,2007201001890,,0,浦口校区,2007-2008学年 第2学期,890,,,否,,,,,,0,文学概论,,,,01001
48.0,400010,2007-作家班-语言学概论1,20072010021254,,1,,0,1-17周,0,盛林,1-17周 周三 第3节-第4节 馆2-106,3.0,文学院,否,,周三,2007-2008-2,,20072010021254,2007文学院汉语言文学(作家班),0,鼓楼校区,2007-2008学年 第2学期,1254,馆2-106,,否,,,,,,0,语言学概论,8,第3节-第4节,逸夫馆,01002
48.0,400010,2007-文强-古代汉语（上）1,2007201003A2804,,2,,0,"1-18周,1-18周",0,高小方,"1-18周 周一 第3节-第4节 浦3-118,1-18周 周三 第3节-第4节 浦3-414",3.0,文学院,否,,"周一,周三",2007-2008-2,,2007201003A2804,2007匡亚明学院应用文科强化班,0,浦口校区,2007-2008学年 第2学期,2804,"浦3-118,浦3-414",,否,,,,,,0,古代汉语（上）,23,"第3节-第4节,第3节-第4节",浦III区,01003A
48.0,400010,2007-文强-古代汉语（上）2,2007201003A2805,,2,,0,"1-18周,1-18周",0,汪维辉,"1-18周 周三 第3节-第4节 浦3-118,1-18周 周五 第3节-第4节 浦3-117",3.0,文学院,否,,"周三,周五",2007-2008-2,,2007201003A2805,2007匡亚明学院应用文科强化班,0,浦口校区,2007-2008学年 第2学期,2805,"浦3-118,浦3-117",,否,,,,,,0,古代汉语（上）,23,"第3节-第4节,第3节-第4节",浦III区,01003A
48.0,400010,2007-作家班-古代汉语（下）1,2007201003B1263,,1,,0,1-17周,0,柳士镇,1-17周 周五 第3节-第4节 馆2-106,3.0,文学院,否,,周五,2007-2008-2,,2007201003B1263,2007文学院汉语言文学(作家班),0,鼓楼校区,2007-2008学年 第2学期,1263,馆2-106,,否,,,,,,0,古代汉语（下）,8,第3节-第4节,逸夫馆,01003B
64.0,400010,2007-作家班-中国古代文学史（下）1,2007201005F1269,,1,,0,"1-17周,1-17周",0,闵丰,"1-17周 周四 第1节-第2节 馆2-106,1-17周 周二 第3节-第4节 馆2-106",4.0,文学院,否,,"周二,周四",2007-2008-2,,2007201005F1269,2007文学院汉语言文学(作家班),0,鼓楼校区,2007-2008学年 第2学期,1269,"馆2-106,馆2-106",,否,,,,,,0,中国古代文学史（下）,8,"第3节-第4节,第1节-第2节",逸夫馆,01005F
64.0,400010,2007-作家班-中国现当代文学（上）1,2007201006A1261,,1,,0,"1-17周,1-17周",0,"翟业军,葛飞","1-17周 周三 第1节-第2节 馆2-106,1-17周 周一 第3节-第4节 馆2-106",4.0,文学院,否,,"周一,周三",2007-2008-2,,2007201006A1261,2007文学院汉语言文学(作家班),0,鼓楼校区,2007-2008学年 第2学期,1261,"馆2-106,馆2-106",,否,,,,,,0,中国现当代文学（上）,8,"第3节-第4节,第1节-第2节",逸夫馆,01006A
64.0,400010,2006-文强-中国现当代文学（上）1,2007201006A3454,,2,,0,"1-18周,1-18周",0,张光芒,"1-18周 周二 第3节-第4节 浦3-101,1-18周 周五 第3节-第4节 浦3-101",4.0,文学院,否,,"周二,周五",2007-2008-2,,2007201006A3454,2006匡亚明学院应用文科强化班,0,浦口校区,2007-2008学年 第2学期,3454,"浦3-101,浦3-101",,否,,,,,,0,中国现当代文学（上）,23,"第3节-第4节,第3节-第4节",浦III区,01006A
64.0,400010,2006-文强-中国现当代文学（上）2,2007201006A3455,,2,,0,"1-18周,1-18周",0,沈卫威,"1-18周 周二 第3节-第4节 浦3-103,1-18周 周五 第3节-第4节 浦3-103",4.0,文学院,否,,"周二,周五",2007-2008-2,,2007201006A3455,2006匡亚明学院应用文科强化班,0,浦口校区,2007-2008学年 第2学期,3455,"浦3-103,浦3-103",,否,,,,,,0,中国现当代文学（上）,23,"第3节-第4节,第3节-第4节",浦III区,01006A
64.0,400010,2007-作家班-外国文学（上）1,2007201007A1256,,1,,0,1-17周,0,叶潇,1-17周 周一 第5节-第7节 馆2-106,4.0,文学院,否,,周一,2007-2008-2,,2007201007A1256,2007文学院汉语言文学(作家班),0,鼓楼校区,2007-2008学年 第2学期,1256,馆2-106,,否,,,,,,0,外国文学（上）,8,第5节-第7节,逸夫馆,01007A
64.0,400010,外国文学（下）1,2007201007B1115,,2,,0,"1-17周,1-17周",0,余斌,"1-17周 周二 第3节-第4节 浦3-315,1-17周 周四 第3节-第4节 浦3-315",4.0,文学院,否,,"周二,周四",2007-2008-2,,2007201007B1115,2005文学院汉语言文学,0,浦口校区,2007-2008学年 第2学期,1115,"浦3-315,浦3-315",,否,,,,,,0,外国文学（下）,23,"第3节-第4节,第3节-第4节",浦III区,01007B
64.0,400010,外国文学（下）2,2007201007B1116,,2,,0,"1-17周,1-17周",0,肖锦龙,"1-17周 周二 第3节-第4节 浦3-317,1-17周 周四 第3节-第4节 浦3-317",4.0,文学院,否,,"周二,周四",2007-2008-2,,2007201007B1116,2005文学院汉语言文学,0,浦口校区,2007-2008学年 第2学期,1116,"浦3-317,浦3-317",,否,,,,,,0,外国文学（下）,23,"第3节-第4节,第3节-第4节",浦III区,01007B
64.0,400010,2005-外国文学（下）1,2007201007B1301,,2,,0,"1-17周,1-17周",0,,"1-17周 周二 第3节-第4节 ,1-17周 周四 第3节-第4节 ",4.0,文学院,否,,"周二,周四",2007-2008-2,,2007201007B1301,2005文学院戏剧影视文学,0,浦口校区,2007-2008学年 第2学期,1301,"无,无",,否,,,,,,0,外国文学（下）,,"第3节-第4节,第3节-第4节",,01007B
64.0,400010,2005-外国文学（下）2,2007201007B1302,,2,,0,"1-17周,1-17周",0,,"1-17周 周二 第3节-第4节 ,1-17周 周四 第3节-第4节 ",4.0,文学院,否,,"周二,周四",2007-2008-2,,2007201007B1302,2005文学院戏剧影视文学,0,浦口校区,2007-2008学年 第2学期,1302,"无,无",,否,,,,,,0,外国文学（下）,,"第3节-第4节,第3节-第4节",,01007B
32.0,400010,2005-《文心雕龙》研究1,20072010091208,,2,,0,1-17周,0,孙蓉蓉,1-17周 周四 第5节-第6节 浦3-302,2.0,文学院,否,,周四,2007-2008-2,,20072010091208,2005文学院汉语言文学,0,浦口校区,2007-2008学年 第2学期,1208,浦3-302,,否,,,,,,0,《文心雕龙》研究,23,第5节-第6节,浦III区,01009
,200090,马克思主义哲学基本问题,20072010101C013833,,1,,0,1-18周,0,,1-18周 周四 第2节-第4节 馆3-205,,研究生院,否,,周四,2007-2008-2,,20072010101C013833,,0,鼓楼校区,2007-2008学年 第2学期,3833,馆3-205,,否,,,,,,0,,8,第2节-第4节,逸夫馆,010101C01
,200090,历史唯物主义专题研究,20072010101D023835,,1,,0,1-18周,0,,1-18周 周一 第2节-第4节 馆3-205,,研究生院,否,,周一,2007-2008-2,,20072010101D023835,,0,鼓楼校区,2007-2008学年 第2学期,3835,馆3-205,,否,,,,,,0,,8,第2节-第4节,逸夫馆,010101D02
,200090,邓小平理论专题研究,20072010101D053836,,1,,0,1-18周,0,,1-18周 周五 第5节-第7节 馆1-202,,研究生院,否,,周五,2007-2008-2,,20072010101D053836,,0,鼓楼校区,2007-2008学年 第2学期,3836,馆1-202,,否,,,,,,0,,8,第5节-第7节,逸夫馆,010101D05
,200090,文化研究,20072010101D103837,,1,,0,1-18周,0,,1-18周 周三 第2节-第4节 馆3-205,,研究生院,否,,周三,2007-2008-2,,20072010101D103837,,0,鼓楼校区,2007-2008学年 第2学期,3837,馆3-205,,否,,,,,,0,,8,第2节-第4节,逸夫馆,010101D10
,200090,当代意识形态热点问题研究,20072010101D113838,,1,,0,1-18周,0,,1-18周 周二 第2节-第4节 馆3-205,,研究生院,否,,周二,2007-2008-2,,20072010101D113838,,0,鼓楼校区,2007-2008学年 第2学期,3838,馆3-205,,否,,,,,,0,,8,第2节-第4节,逸夫馆,010101D11
,200090,西方马克思主义经济哲学,20072010101X083839,,1,,0,1-18周,0,,1-18周 周三 第2节-第4节 馆2-202,,研究生院,否,,周三,2007-2008-2,,20072010101X083839,,0,鼓楼校区,2007-2008学年 第2学期,3839,馆2-202,,否,,,,,,0,,8,第2节-第4节,逸夫馆,010101X08
,200090,20世纪法国马克思主义研究,20072010101X093840,,1,,0,1-18周,0,,1-18周 周一 第2节-第4节 馆1-102,,研究生院,否,,周一,2007-2008-2,,20072010101X093840,,0,鼓楼校区,2007-2008学年 第2学期,3840,馆1-102,,否,,,,,,0,,8,第2节-第4节,逸夫馆,010101X09
,200090,哲学逻辑,20072010104D013841,,1,,0,1-18周,0,,1-18周 周四 第2节-第4节 ,,研究生院,否,,周四,2007-2008-2,,20072010104D013841,,0,鼓楼校区,2007-2008学年 第2学期,3841,无,,否,,,,,,0,,,第2节-第4节,,010104D01
,200090,基督宗教研究,20072010107D053842,,1,,0,1-18周,0,,1-18周 周一 第5节-第7节 馆1-206,,研究生院,否,,周一,2007-2008-2,,20072010107D053842,,0,鼓楼校区,2007-2008学年 第2学期,3842,馆1-206,,否,,,,,,0,,8,第5节-第7节,逸夫馆,010107D05
,200090,科学与文化 ,20072010108D053844,,1,,0,1-18周,0,,1-18周 周二 第2节-第4节 教211,,研究生院,否,,周二,2007-2008-2,,20072010108D053844,,0,鼓楼校区,2007-2008学年 第2学期,3844,教211,,否,,,,,,0,,1,第2节-第4节,教学楼,010108D05
,200090,科学哲学的后实证研究,20072010108X103845,,1,,0,1-18周,0,,1-18周 周一 第2节-第4节 馆1-302,,研究生院,否,,周一,2007-2008-2,,20072010108X103845,,0,鼓楼校区,2007-2008学年 第2学期,3845,馆1-302,,否,,,,,,0,,8,第2节-第4节,逸夫馆,010108X10
,200090,中西科学思想比较研究,20072010108X143843,,1,,0,1-18周,0,,1-18周 周二 第2节-第4节 教218,,研究生院,否,,周二,2007-2008-2,,20072010108X143843,,0,鼓楼校区,2007-2008学年 第2学期,3843,教218,,否,,,,,,0,,1,第2节-第4节,教学楼,010108X14
32.0,400010,工具书使用法(合班),20072010135930,,2,,0,1-17周,0,高小方,1-17周 周一 第1节-第2节 浦2-103,2.0,文学院,否,,周一,2007-2008-2,,20072010135930,"2005匡亚明学院应用文科强化班,2006匡亚明学院应用文科强化班",0,浦口校区,2007-2008学年 第2学期,5930,浦2-103,,否,,,,,,0,工具书使用法,22,第1节-第2节,浦II区,01013
32.0,400010,2007-文强-《诗经》研究1,20072010152809,,2,,0,1-18周,0,孙立尧,1-18周 周三 第5节-第6节 浦3-117,2.0,文学院,否,,周三,2007-2008-2,,20072010152809,2007匡亚明学院应用文科强化班,0,浦口校区,2007-2008学年 第2学期,2809,浦3-117,,否,,,,,,0,《诗经》研究,23,第5节-第6节,浦III区,01015
